"","rat","time1","time2","del","gp","time"
"79",22,0,182,0,1,182
"80",23,0,91,1,1,91
"81",23,91,182,0,1,91
"82",24,0,63,1,0,63
"83",24,63,102,1,0,39
"84",24,102,119,1,0,17
"85",24,119,161,1,0,42
"86",24,161,161,1,0,0.01
"87",24,161,172,1,0,11
"88",24,172,179,1,0,7
"89",24,179,182,0,0,3
"90",25,0,88,1,0,88
"91",25,88,91,1,0,3
"92",25,91,95,1,0,4
"93",25,95,105,1,0,10
"94",25,105,112,1,0,7
"95",25,112,119,1,0,7
"96",25,119,119,1,0,0.01
"97",25,119,137,1,0,18
"98",25,137,145,1,0,8
"99",25,145,167,1,0,22
"100",25,167,172,1,0,5
"101",25,172,182,0,0,10
"102",26,0,91,1,0,91
"103",26,91,98,1,0,7
"104",26,98,108,1,0,10
"105",26,108,112,1,0,4
"106",26,112,134,1,0,22
"107",26,134,137,1,0,3
"108",26,137,161,1,0,24
"109",26,161,161,1,0,0.01
"110",26,161,179,1,0,18
"111",26,179,182,0,0,3
"112",27,0,71,1,0,71
"113",27,71,174,1,0,103
"114",27,174,182,0,0,8
"115",28,0,95,1,0,95
"116",28,95,105,1,0,10
"117",28,105,134,1,0,29
"118",28,134,134,1,0,0.01
"119",28,134,137,1,0,3
"120",28,137,140,1,0,3
"121",28,140,145,1,0,5
"122",28,145,150,1,0,5
"123",28,150,150,1,0,0.01
"124",28,150,182,0,0,32
"125",29,0,68,1,0,68
"126",29,68,68,1,0,0.01
"127",29,68,130,1,0,62
"128",29,130,137,1,0,7
"129",29,137,182,0,0,45
"130",30,0,77,1,0,77
"131",30,77,95,1,0,18
"132",30,95,112,1,0,17
"133",30,112,137,1,0,25
"134",30,137,161,1,0,24
"135",30,161,174,1,0,13
"136",30,174,182,0,0,8
"137",31,0,81,1,0,81
"138",31,81,84,1,0,3
"139",31,84,126,1,0,42
"140",31,126,134,1,0,8
"141",31,134,161,1,0,27
"142",31,161,161,1,0,0.01
"143",31,161,174,1,0,13
"144",31,174,182,0,0,8
"145",32,0,68,1,0,68
"146",32,68,77,1,0,9
"147",32,77,98,1,0,21
"148",32,98,102,1,0,4
"149",32,102,102,1,0,0.01
"150",32,102,102,1,0,0.01
"151",32,102,182,0,0,80
"152",33,0,112,1,0,112
"153",33,112,182,0,0,70
"154",34,0,88,1,0,88
"155",34,88,88,1,0,0.01
"156",34,88,91,1,0,3
"157",34,91,98,1,0,7
"158",34,98,112,1,0,14
"159",34,112,134,1,0,22
"160",34,134,134,1,0,0.01
"161",34,134,137,1,0,3
"162",34,137,137,1,0,0.01
"163",34,137,140,1,0,3
"164",34,140,140,1,0,0.01
"165",34,140,152,1,0,12
"166",34,152,152,1,0,0.01
"167",34,152,182,0,0,30
"168",35,0,77,1,0,77
"169",35,77,179,1,0,102
"170",35,179,182,0,0,3
"171",36,0,112,1,0,112
"172",36,112,182,0,0,70
"173",37,0,71,1,0,71
"174",37,71,71,1,0,0.01
"175",37,71,74,1,0,3
"176",37,74,77,1,0,3
"177",37,77,112,1,0,35
"178",37,112,116,1,0,4
"179",37,116,116,1,0,0.01
"180",37,116,140,1,0,24
"181",37,140,140,1,0,0.01
"182",37,140,167,1,0,27
"183",37,167,182,0,0,15
"184",38,0,77,1,0,77
"185",38,77,95,1,0,18
"186",38,95,126,1,0,31
"187",38,126,150,1,0,24
"188",38,150,182,0,0,32
"189",39,0,88,1,0,88
"190",39,88,126,1,0,38
"191",39,126,130,1,0,4
"192",39,130,130,1,0,0.01
"193",39,130,134,1,0,4
"194",39,134,182,0,0,48
"195",40,0,63,1,0,63
"196",40,63,74,1,0,11
"197",40,74,84,1,0,10
"198",40,84,84,1,0,0.01
"199",40,84,88,1,0,4
"200",40,88,91,1,0,3
"201",40,91,95,1,0,4
"202",40,95,108,1,0,13
"203",40,108,134,1,0,26
"204",40,134,137,1,0,3
"205",40,137,179,1,0,42
"206",40,179,182,0,0,3
"207",41,0,81,1,0,81
"208",41,81,88,1,0,7
"209",41,88,105,1,0,17
"210",41,105,116,1,0,11
"211",41,116,123,1,0,7
"212",41,123,140,1,0,17
"213",41,140,145,1,0,5
"214",41,145,152,1,0,7
"215",41,152,161,1,0,9
"216",41,161,161,1,0,0.01
"217",41,161,179,1,0,18
"218",41,179,182,0,0,3
"219",42,0,88,1,0,88
"220",42,88,95,1,0,7
"221",42,95,112,1,0,17
"222",42,112,119,1,0,7
"223",42,119,126,1,0,7
"224",42,126,126,1,0,0.01
"225",42,126,150,1,0,24
"226",42,150,157,1,0,7
"227",42,157,179,1,0,22
"228",42,179,182,0,0,3
"229",43,0,68,1,0,68
"230",43,68,68,1,0,0.01
"231",43,68,84,1,0,16
"232",43,84,102,1,0,18
"233",43,102,105,1,0,3
"234",43,105,119,1,0,14
"235",43,119,123,1,0,4
"236",43,123,123,1,0,0.01
"237",43,123,137,1,0,14
"238",43,137,161,1,0,24
"239",43,161,179,1,0,18
"240",43,179,182,1,0,3
"241",44,0,140,1,0,140
"242",44,140,182,0,0,42
"243",45,0,152,1,0,152
"244",45,152,182,1,0,30
"245",45,182,182,1,0,0.01
"246",46,0,81,1,0,81
"247",46,81,182,0,0,101
"248",47,0,63,1,0,63
"249",47,63,88,1,0,25
"250",47,88,134,1,0,46
"251",47,134,182,0,0,48
"252",48,0,84,1,0,84
"253",48,84,134,1,0,50
"254",48,134,182,1,0,48
