"","Cowid","Lower","Upper","Midpoint","Status","Heifer","Quarter"
"225",57,53,82,67.5,1,0,1
"226",57,28,57,42.5,1,0,2
"227",57,0,25,12.5,1,0,3
"228",57,21,50,35.5,1,0,4
"229",58,30,63,46.5,1,1,1
"230",58,6,39,22.5,1,1,2
"231",58,106,139,122.5,1,1,3
"232",58,0,29,14.5,1,1,4
"233",59,233,261,247,1,0,1
"234",59,321,349,335,0,0,2
"235",59,312,340,326,1,0,3
"236",59,172,200,186,1,0,4
"237",60,43,69,56,1,1,1
"238",60,297,323,310,0,1,2
"239",60,148,174,161,1,1,3
"240",60,13,39,26,1,1,4
"241",61,163,190,176.5,1,0,1
"242",61,183,210,196.5,1,0,2
"243",61,196,223,209.5,1,0,3
"244",61,26,53,39.5,1,0,4
"245",62,44,74,59,1,1,1
"246",62,34,64,49,1,1,2
"247",62,0,17,8.5,1,1,3
"248",62,5,35,20,1,1,4
"249",63,331,359,345,0,0,1
"250",63,325,353,339,0,0,2
"251",63,296,324,310,0,0,3
"252",63,274,302,288,1,0,4
"253",64,195,228,211.5,1,0,1
"254",64,300,333,316.5,0,0,2
"255",64,249,282,265.5,1,0,3
"256",64,35,68,51.5,1,0,4
"257",65,153,181,167,1,0,1
"258",65,289,317,303,0,0,2
"259",65,96,124,110,1,0,3
"260",65,300,328,314,0,0,4
"261",66,0,18,9,1,1,1
"262",66,0,30,15,1,1,2
"263",66,0,24,12,1,1,3
"264",66,0,20,10,1,1,4
"265",67,11,42,26.5,1,0,1
"266",67,75,106,90.5,1,0,2
"267",67,18,49,33.5,1,0,3
"268",67,46,77,61.5,1,0,4
"269",68,35,68,51.5,1,0,1
"270",68,305,338,321.5,0,0,2
"271",68,313,346,329.5,0,0,3
"272",68,226,259,242.5,1,0,4
"273",69,71,101,86,1,0,1
"274",69,0,26,13,1,0,2
"275",69,0,26,13,1,0,3
"276",69,35,65,50,1,0,4
"277",70,36,66,51,1,0,1
"278",70,50,80,65,1,0,2
"279",70,32,62,47,1,0,3
"280",70,30,60,45,1,0,4
"281",71,0,16,8,1,0,1
"282",71,42,68,55,1,0,2
"283",71,17,43,30,1,0,3
"284",71,49,75,62,1,0,4
"285",72,48,79,63.5,1,0,1
"286",72,56,87,71.5,1,0,2
"287",72,74,105,89.5,1,0,3
"288",72,11,42,26.5,1,0,4
"289",73,72,102,87,1,0,1
"290",73,143,173,158,1,0,2
"291",73,56,86,71,1,0,3
"292",73,10,40,25,1,0,4
"293",74,59,90,74.5,1,1,1
"294",74,0,21,10.5,1,1,2
"295",74,58,89,73.5,1,1,3
"296",74,0,30,15,1,1,4
"297",75,73,98,85.5,1,0,1
"298",75,13,38,25.5,1,0,2
"299",75,0,12,6,1,0,3
"300",75,46,71,58.5,1,0,4
"301",76,109,142,125.5,1,0,1
"302",76,14,47,30.5,1,0,2
"303",76,0,31,15.5,1,0,3
"304",76,34,67,50.5,1,0,4
"305",77,12,42,27,1,0,1
"306",77,40,70,55,1,0,2
"307",77,13,43,28,1,0,3
"308",77,0,15,7.5,1,0,4
"309",78,143,177,160,1,0,1
"310",78,231,265,248,1,0,2
"311",78,323,357,340,0,0,3
"312",78,268,302,285,1,0,4
"313",79,145,170,157.5,1,0,1
"314",79,200,225,212.5,1,0,2
"315",79,133,158,145.5,1,0,3
"316",79,125,150,137.5,1,0,4
"317",80,92,126,109,1,1,1
"318",80,297,331,314,0,1,2
"319",80,10,44,27,1,1,3
"320",80,304,338,321,0,1,4
"321",81,152,185,168.5,1,1,1
"322",81,42,75,58.5,1,1,2
"323",81,27,60,43.5,1,1,3
"324",81,40,73,56.5,1,1,4
"325",82,39,68,53.5,1,0,1
"326",82,0,18,9,1,0,2
"327",82,24,53,38.5,1,0,3
"328",82,25,54,39.5,1,0,4
"329",83,293,320,306.5,0,1,1
"330",83,298,325,311.5,0,1,2
"331",83,313,340,326.5,0,1,3
"332",83,289,316,302.5,0,1,4
"333",84,18,49,33.5,1,0,1
"334",84,32,63,47.5,1,0,2
"335",84,61,92,76.5,1,0,3
"336",84,0,21,10.5,1,0,4
"337",85,9,38,23.5,1,1,1
"338",85,85,114,99.5,1,1,2
"339",85,52,81,66.5,1,1,3
"340",85,97,126,111.5,1,1,4
"341",86,291,316,303.5,0,1,1
"342",86,281,306,293.5,1,1,2
"343",86,309,334,321.5,0,1,3
"344",86,308,333,320.5,0,1,4
"345",87,41,71,56,1,0,1
"346",87,94,124,109,1,0,2
"347",87,35,65,50,1,0,3
"348",87,0,30,15,1,0,4
"349",88,131,165,148,1,0,1
"350",88,1,35,18,1,0,2
"351",88,290,324,307,1,0,3
"352",88,143,177,160,1,0,4
"353",89,292,319,305.5,0,0,1
"354",89,330,357,343.5,0,0,2
"355",89,288,315,301.5,0,0,3
"356",89,304,331,317.5,0,0,4
"357",90,11,38,24.5,1,1,1
"358",90,35,62,48.5,1,1,2
"359",90,35,62,48.5,1,1,3
"360",90,81,108,94.5,1,1,4
"361",91,272,299,285.5,1,1,1
"362",91,167,194,180.5,1,1,2
"363",91,314,341,327.5,1,1,3
"364",91,334,361,347.5,0,1,4
"365",92,79,106,92.5,1,0,1
"366",92,2,29,15.5,1,0,2
"367",92,0,27,13.5,1,0,3
"368",92,14,41,27.5,1,0,4
"369",93,326,360,343,0,0,1
"370",93,300,334,317,0,0,2
"371",93,273,307,290,1,0,3
"372",93,126,160,143,1,0,4
"373",94,3,36,19.5,1,0,1
"374",94,0,20,10,1,0,2
"375",94,47,80,63.5,1,0,3
"376",94,7,40,23.5,1,0,4
"377",95,179,209,194,1,0,1
"378",95,29,59,44,1,0,2
"379",95,229,259,244,1,0,3
"380",95,45,75,60,1,0,4
"381",96,311,343,327,0,0,1
"382",96,247,279,263,1,0,2
"383",96,19,51,35,1,0,3
"384",96,294,326,310,1,0,4
"385",97,0,26,13,1,0,1
"386",97,0,24,12,1,0,2
"387",97,0,20,10,1,0,3
"388",97,28,54,41,1,0,4
"389",98,33,66,49.5,1,1,1
"390",98,58,91,74.5,1,1,2
"391",98,171,204,187.5,1,1,3
"392",98,47,80,63.5,1,1,4
"393",99,139,173,156,1,0,1
"394",99,318,352,335,0,0,2
"395",99,268,302,285,1,0,3
"396",99,161,195,178,1,0,4
"397",100,89,119,104,1,0,1
"398",100,48,78,63,1,0,2
"399",100,187,217,202,1,0,3
"400",100,2,32,17,1,0,4
