"","Cowid","Time","Status","Herd","Timeassess","LogSCC"
"88",88,313,0,19,8,4.69
"89",89,312,0,19,9,6.18
"90",90,319,0,19,9,5.23
"91",91,327,0,19,13,4.68
"92",92,336,0,20,6,5.48
"93",93,333,0,20,7,3.91
"94",94,188,1,20,13,6.21
"95",95,338,0,20,6,6.93
"96",96,327,0,21,8,5.07
"97",97,309,1,21,14,3.22
"98",98,169,1,21,9,4.78
"99",99,302,1,22,11,7.21
"100",100,315,0,23,8,5.32
"101",101,332,0,23,14,4.37
"102",102,311,1,23,8,4.43
"103",103,330,0,24,7,4.87
"104",104,333,0,24,10,4.17
"105",105,332,0,24,7,7.01
"106",106,326,0,24,11,6.05
"107",107,304,1,24,13,3.04
"108",108,57,1,24,14,3.18
"109",109,331,0,25,5,4.77
"110",110,336,0,25,13,3.43
"111",111,339,0,25,9,4.55
"112",112,319,0,25,5,5.75
"113",113,323,0,25,5,4.55
"114",114,338,0,25,6,6.12
"115",115,324,0,26,13,5.4
"116",116,312,0,26,13,3.22
"117",117,336,0,26,5,5
"118",118,318,0,26,6,4.62
"119",119,333,0,27,9,3.22
"120",120,315,0,27,6,5.08
"121",121,145,1,27,7,2.64
"122",122,277,1,27,6,6.14
"123",123,339,0,28,8,5.42
"124",124,329,0,28,7,4.82
"125",125,339,0,28,8,3.33
"126",126,316,0,28,13,2.64
"127",127,313,0,29,8,5.45
"128",128,157,1,29,7,2.83
"129",129,331,0,30,11,4.62
"130",130,322,0,30,11,3.76
"131",131,329,0,31,14,3.14
"132",132,315,0,31,8,3.74
"133",133,323,0,31,8,3.89
"134",134,327,0,31,13,3.37
"135",135,323,0,31,12,8.05
"136",136,338,0,31,14,4.17
"137",137,320,0,31,5,3.81
"138",138,330,0,32,11,4.88
"139",139,324,0,32,13,4.04
"140",140,33,1,32,10,3.76
"141",141,325,0,33,14,4.62
"142",142,334,0,33,8,8.49
"143",143,337,0,33,13,4.44
"144",144,314,0,33,10,7.32
"145",145,322,0,33,14,3.22
"146",146,315,0,33,11,3.99
"147",147,322,0,33,9,5.91
"148",148,330,0,34,14,3.58
"149",149,316,0,34,14,3.4
"150",150,337,0,34,14,6.41
"151",151,291,1,34,10,4.11
"152",152,325,0,34,7,5.51
"153",153,323,0,34,12,5.65
"154",154,313,0,34,7,4.25
"155",155,310,0,35,9,5.02
"156",156,338,0,35,13,4.45
"157",157,324,0,35,6,4.67
"158",158,319,0,35,12,4.22
"159",159,323,0,36,6,2.89
"160",160,312,1,36,8,6
"161",161,328,0,36,10,2.71
"162",162,338,0,36,10,4.45
"163",163,317,0,36,10,4.56
"164",164,338,0,37,9,4.06
"165",165,329,0,37,14,4.85
"166",166,339,0,37,6,3.99
"167",167,317,0,37,5,4.97
"168",168,313,0,38,11,3.91
"169",169,326,0,38,13,3
"170",170,336,0,38,14,3.74
"171",171,320,0,38,9,3.47
"172",172,335,0,38,10,3.53
"173",173,311,0,38,6,6.1
"174",174,310,1,38,6,4.45
"175",175,310,0,38,13,3.89
"176",176,317,0,39,10,5.04
"177",177,312,0,39,12,4.87
"178",178,317,0,39,13,3.33
"179",179,320,0,39,14,4.2
"180",180,328,0,39,11,4.41
"181",181,317,0,40,9,4.14
"182",182,318,0,40,14,5.46
"183",183,328,0,41,9,3.74
"184",184,339,0,41,9,6.4
"185",185,316,0,41,13,3.37
"186",186,314,1,41,11,3.71
"187",187,315,0,42,12,5.65
"188",188,327,0,43,9,4.09
"189",189,339,0,43,9,4.08
"190",190,322,0,43,14,4.98
"191",191,332,0,43,7,4.7
"192",192,335,0,43,6,4.06
"193",193,324,0,43,6,3.93
"194",194,332,0,43,8,5.75
"195",195,333,0,43,12,5.59
"196",196,326,0,43,7,3.91
"197",197,329,0,43,12,3.53
"198",198,313,0,43,8,5.19
"199",199,337,0,43,13,3.33
"200",200,329,0,43,11,5.61
"201",201,313,0,44,9,3.61
"202",202,327,0,44,11,5.82
"203",203,330,0,44,5,4.37
"204",204,322,0,44,9,5.45
"205",205,339,0,44,11,7.71
"206",206,310,0,44,10,4.58
"207",207,312,0,45,6,3.93
"208",208,333,0,45,7,4.32
"209",209,319,0,45,14,4.86
"210",210,313,0,46,14,4.22
"211",211,331,0,46,11,4.79
"212",212,311,0,46,10,5.65
"213",213,214,1,46,11,8.61
"214",214,304,1,46,14,3.56
"215",215,331,0,46,12,5.57
"216",216,320,0,47,8,3.5
"217",217,330,0,47,14,3.22
"218",218,336,0,48,6,5.96
"219",219,326,0,48,13,5.65
"220",220,315,0,48,5,3.74
"221",221,339,0,48,13,4.73
"222",222,334,0,48,5,4.75
"223",223,322,0,48,11,3.18
"224",224,328,0,48,10,3.18
"225",225,334,0,48,10,3.66
"226",226,315,0,49,6,5.94
"227",227,313,0,49,7,4.84
"228",228,313,0,49,7,3.78
"229",229,319,0,49,8,4.32
"230",230,303,1,50,10,5.19
"231",231,331,0,50,11,4.34
"232",232,323,0,50,10,4.77
"233",233,336,0,50,10,5.77
"234",234,336,1,50,6,4.74
"235",235,337,1,50,13,5.67
"236",236,334,0,50,14,3.14
"237",237,166,1,50,11,4.78
"238",238,315,0,51,6,4.28
"239",239,320,1,51,13,4.85
"240",240,338,0,51,10,3.93
"241",241,315,0,51,13,3.69
"242",242,328,0,51,11,3.99
"243",243,325,0,51,11,4.49
"244",244,338,0,51,14,4.42
"245",245,319,0,51,5,5.72
"246",246,320,0,51,10,4.56
"247",247,111,1,51,6,4.3
"248",248,322,0,51,5,5.83
"249",249,319,0,52,10,6.07
"250",250,314,0,52,9,3.61
"251",251,335,0,52,8,4.08
"252",252,312,0,52,11,4.75
"253",253,334,0,53,13,3.97
"254",254,321,0,53,12,4.28
"255",255,319,0,53,8,6.33
"256",256,334,0,53,6,5.61
"257",257,94,1,53,7,3.81
"258",258,318,0,53,12,3.37
"259",259,334,0,53,9,5.72
"260",260,315,0,53,10,6.28
"261",261,324,0,54,14,8.43
"262",262,321,0,54,7,5.2
"263",263,319,0,54,9,4.43
"264",264,315,0,54,12,7.2
"265",265,324,1,54,9,5.11
"266",266,10,1,54,11,5.53
"267",267,311,0,55,8,4.7
"268",268,328,0,55,7,3.64
"269",269,316,0,55,6,4.14
"270",270,327,0,56,8,4.86
"271",271,315,0,56,11,4.61
"272",272,337,0,56,11,5.15
"273",273,311,0,56,14,3.89
"274",274,319,0,57,12,5.39
"275",275,332,1,57,14,3.33
"276",276,325,0,57,10,5.41
"277",277,330,0,57,10,4.88
"278",278,23,1,57,13,6.18
"279",279,331,0,58,13,4.14
"280",280,329,0,58,14,3.5
"281",281,325,0,58,13,3.64
"282",282,322,1,58,5,4.39
"283",283,324,0,58,9,5.2
"284",284,319,0,59,11,5.48
"285",285,71,1,59,6,5.99
"286",286,291,1,59,9,3.18
"287",287,313,0,59,11,3.89
"288",288,336,0,59,9,3.33
"289",289,310,0,59,6,6.55
"290",290,310,0,59,8,5.19
"291",291,326,0,59,8,3.37
"292",292,336,0,59,5,5.02
"293",293,323,0,59,7,4.13
"294",294,336,0,60,11,4.14
"295",295,317,0,60,8,4.25
"296",296,22,1,60,13,4.33
"297",297,311,0,61,11,3.3
"298",298,317,0,62,7,5.39
"299",299,326,0,62,6,5.89
"300",300,317,0,62,13,4.26
"301",301,269,1,62,11,3.89
"302",302,329,0,63,5,5.35
"303",303,338,0,63,12,4.32
"304",304,71,1,63,9,5.25
"305",305,312,0,63,11,4.69
"306",306,328,0,64,6,5.33
"307",307,319,0,64,14,4.14
"308",308,334,0,64,12,6.14
"309",309,311,0,64,11,3.4
"310",310,334,0,65,14,3.22
"311",311,313,0,65,7,3.69
"312",312,315,0,65,8,4.41
"313",313,317,0,65,10,3.18
"314",314,319,0,65,10,4.61
"315",315,336,0,66,13,3.69
"316",316,339,0,66,9,3.22
"317",317,326,0,67,11,3.3
"318",318,322,0,67,8,4.94
"319",319,336,0,67,14,3.89
"320",320,324,0,68,7,5.88
"321",321,322,0,68,14,3.99
"322",322,333,0,68,10,3.18
"323",323,328,1,68,8,4.74
"324",324,318,0,68,6,5.2
"325",325,331,0,68,10,4.19
"326",326,313,0,68,13,3.18
"327",327,333,0,69,14,3.18
"328",328,337,0,69,11,4.7
"329",329,313,1,69,8,3.89
"330",330,333,0,70,6,3.3
"331",331,320,0,70,13,5.8
"332",332,123,1,70,8,4.61
"333",333,334,0,70,7,4.17
"334",334,321,0,71,13,4.36
"335",335,328,0,71,13,3
"336",336,324,0,71,13,2.71
"337",337,335,0,72,12,3.56
"338",338,310,1,72,8,6.74
"339",339,326,0,72,13,3.74
"340",340,191,1,72,12,3.81
"341",341,320,0,72,8,4.61
"342",342,311,0,73,14,6.15
"343",343,318,0,73,5,6.37
"344",344,70,1,73,14,5.35
"345",345,335,0,73,7,3.78
"346",346,339,0,73,10,6.28
"347",347,312,0,73,10,5.39
"348",348,335,0,74,9,8.61
"349",349,290,1,74,7,4.47
"350",350,312,0,74,14,4.34
"351",351,157,1,74,8,6.14
"352",352,321,0,74,11,4.23
"353",353,329,0,74,6,6.26
"354",354,320,0,74,11,3.83
"355",355,336,0,74,9,4.11
"356",356,318,0,74,6,3.33
"357",357,326,0,75,8,4.91
"358",358,318,0,75,8,5.47
"359",359,330,0,75,8,4.88
"360",360,301,1,75,10,4.16
"361",361,326,0,76,9,3.81
"362",362,335,0,76,11,3.5
"363",363,310,0,76,8,4.84
"364",364,285,1,76,11,4.26
"365",365,313,0,76,7,4.99
"366",366,336,0,77,7,5.67
"367",367,319,0,77,7,4.53
"368",368,311,0,77,11,4.74
"369",369,339,0,78,10,3.37
"370",370,315,1,78,7,6.54
"371",371,337,0,78,13,3
"372",372,313,0,78,14,4.52
"373",373,331,0,78,13,3.89
"374",374,323,0,78,6,5.99
"375",375,330,0,79,10,4.64
"376",376,315,0,79,9,4.09
"377",377,336,0,79,12,4.64
"378",378,4,1,80,8,5.5
"379",379,325,0,80,11,4.85
"380",380,325,0,80,13,4.16
"381",381,336,0,80,6,4.61
"382",382,320,0,81,6,5.02
"383",383,323,0,81,6,4.09
"384",384,311,0,81,14,3.18
"385",385,323,0,81,11,4.9
"386",386,314,0,81,12,5.56
"387",387,321,0,82,13,4.26
"388",388,314,0,82,6,5.52
"389",389,313,0,83,6,5.98
"390",390,322,0,83,10,2.77
"391",391,327,0,83,6,3.69
"392",392,325,0,83,12,4.62
"393",393,334,0,83,14,2.94
"394",394,332,0,83,6,6.04
"395",395,317,0,83,6,5.81
"396",396,335,0,84,7,4.93
"397",397,299,1,85,11,8.3
"398",398,327,0,86,12,5.3
"399",399,312,1,86,12,6.1
"400",400,331,0,86,10,4.58
"401",401,318,0,86,7,4.71
"402",402,325,0,86,11,3.78
"403",403,337,0,86,8,3.33
"404",404,324,0,86,6,8.79
"405",405,317,0,87,9,5.98
"406",406,320,0,87,9,4.09
"407",407,316,0,87,10,5.55
"408",408,331,0,87,12,4.54
"409",409,325,0,87,8,5.4
"410",410,339,0,87,10,4.62
"411",411,334,0,87,11,5.03
"412",412,30,1,87,8,4.03
"413",413,311,0,87,6,6.52
"414",414,333,0,88,9,6.89
"415",415,329,0,88,9,4.22
"416",416,339,0,88,10,4.34
"417",417,305,1,88,14,5.53
"418",418,317,0,88,6,3.89
"419",419,143,1,88,13,4.84
"420",420,311,0,88,8,6.78
"421",421,97,1,88,6,4.62
"422",422,13,1,88,12,5.81
"423",423,317,0,89,14,3.53
"424",424,313,0,89,7,4.09
"425",425,315,0,89,6,3.87
"426",426,325,0,90,14,3.4
"427",427,335,0,90,13,5.14
"428",428,338,0,90,13,4.37
"429",429,322,0,90,7,7.74
"430",430,325,0,90,9,4.94
"431",431,336,0,91,10,5.25
"432",432,338,0,91,8,5.95
"433",433,324,0,91,13,5.24
"434",434,323,0,91,11,4.14
"435",435,311,0,91,6,6.9
"436",436,326,0,91,11,4.14
"437",437,320,0,91,8,6.01
"438",438,327,0,91,11,4.28
"439",439,318,0,91,11,4.98
"440",440,313,0,92,13,4.37
"441",441,332,0,92,7,6.74
"442",442,333,0,92,8,4.04
"443",443,250,1,92,12,3.74
"444",444,312,0,92,13,4.04
"445",445,328,0,93,13,5.77
"446",446,333,0,93,6,4.44
"447",447,331,0,93,14,3.83
"448",448,327,0,93,9,4.37
"449",449,311,0,93,14,5.5
"450",450,321,0,93,6,4.52
"451",451,312,0,93,11,5.95
"452",452,334,0,93,9,3.95
"453",453,312,0,93,6,3.85
"454",454,315,0,93,11,4.11
"455",455,321,0,93,8,5.41
"456",456,316,0,94,13,3.56
"457",457,334,0,94,9,4.74
"458",458,310,0,94,10,8.02
"459",459,324,0,94,8,5.19
"460",460,166,1,95,9,3.93
"461",461,314,0,95,9,3.5
"462",462,335,0,95,8,3.26
"463",463,317,0,95,6,4.92
"464",464,329,0,96,14,3.74
"465",465,315,1,97,7,3.14
"466",466,316,0,97,14,2.71
"467",467,317,0,97,8,4.99
"468",468,315,1,97,8,4.57
"469",469,325,0,98,10,3.61
"470",470,315,0,99,7,4.17
"471",471,316,0,99,5,5.31
"472",472,332,0,99,5,6.92
"473",473,329,0,99,9,5.19
"474",474,323,0,99,8,3.53
"475",475,323,0,100,7,3.87
"476",476,315,0,100,14,2.94
"477",477,329,0,101,12,3.85
"478",478,339,0,101,11,7.23
"479",479,321,0,101,13,4.83
"480",480,336,0,101,11,3.95
"481",481,311,0,101,8,5.08
"482",482,100,1,101,9,4.09
"483",483,317,0,101,9,4.93
"484",484,271,1,102,8,3.64
"485",485,318,0,102,8,7.59
"486",486,32,1,102,14,7.16
"487",487,335,0,102,12,3.47
"488",488,338,0,102,10,3.5
"489",489,307,1,103,9,5.41
"490",490,314,0,103,12,5.09
"491",491,323,0,103,9,5.25
"492",492,339,0,103,11,4.42
"493",493,315,0,103,9,5.88
"494",494,328,0,104,6,3.71
"495",495,331,0,104,14,3.43
"496",496,329,0,104,14,4.91
"497",497,330,0,104,9,7
"498",498,318,0,104,7,3.14
"499",499,329,0,104,9,4.25
"500",500,339,0,104,9,3.66
"501",501,314,0,104,12,3.5
"502",502,324,0,104,5,3.56
"503",503,321,0,105,13,4.85
"504",504,313,0,105,6,4.52
"505",505,324,0,105,6,5
"506",506,280,1,105,14,3.47
"507",507,315,1,105,8,7.69
"508",508,316,0,105,9,5.41
"509",509,315,1,106,13,4.16
"510",510,84,1,106,7,6.06
"511",511,107,1,107,10,4.29
"512",512,114,1,107,13,3.78
"513",513,336,0,107,10,3.81
"514",514,318,0,108,6,7.1
"515",515,313,0,108,9,5.1
"516",516,331,0,108,6,7.45
"517",517,314,0,108,7,6.19
"518",518,326,0,108,10,4.22
"519",519,337,0,109,6,8.26
"520",520,329,0,109,8,4.14
"521",521,323,0,109,7,6.54
"522",522,320,0,109,12,4.04
"523",523,334,0,109,14,4.01
"524",524,328,0,109,10,2.83
"525",525,329,0,110,8,5.21
"526",526,158,1,111,10,4.86
"527",527,325,0,111,8,4.86
"528",528,333,0,111,9,5.9
"529",529,318,0,111,13,3.5
"530",530,338,0,111,9,4.01
"531",531,314,0,111,11,2.77
"532",532,320,0,111,7,8.18
"533",533,317,0,111,13,4.38
"534",534,317,0,111,7,5.63
"535",535,335,0,111,8,5.2
"536",536,321,0,111,10,7.23
"537",537,310,0,112,6,4.14
"538",538,331,0,112,7,7.22
"539",539,332,0,112,11,5.34
"540",540,328,0,112,11,4.14
"541",541,103,1,112,10,4.3
"542",542,316,0,113,13,3.78
"543",543,339,0,113,11,4.08
"544",544,15,1,114,6,8.85
"545",545,329,0,114,7,7.94
"546",546,277,1,114,13,6.34
"547",547,300,1,115,8,4.63
"548",548,327,0,116,12,3.83
"549",549,323,0,117,8,4.7
"550",550,330,0,118,6,5.51
"551",551,333,0,118,10,3.53
"552",552,338,0,119,8,3.5
"553",553,319,0,119,7,4.44
"554",554,320,0,119,7,6.17
"555",555,247,1,119,14,3.18
"556",556,328,0,119,7,3.3
"557",557,321,0,120,7,6.58
"558",558,51,1,120,7,5.11
"559",559,327,0,120,8,4.99
"560",560,330,0,120,7,5.2
"561",561,306,1,120,6,6.86
"562",562,310,0,120,8,5.36
"563",563,306,1,120,6,5.31
"564",564,312,1,121,14,4.3
"565",565,37,1,121,11,8.71
"566",566,310,0,122,6,4.22
"567",567,329,0,122,6,5.02
"568",568,323,0,122,9,3.81
"569",569,251,1,122,10,5.71
"570",570,209,1,122,13,4.28
"571",571,335,0,122,6,4.51
"572",572,32,1,122,6,4.84
"573",573,315,0,123,7,5.95
"574",574,328,0,123,8,3.69
"575",575,314,0,123,10,6.84
"576",576,339,0,123,14,3.93
"577",577,181,1,123,8,3.04
"578",578,317,1,123,12,4.41
"579",579,316,0,123,10,3.47
"580",580,325,0,124,13,3.3
"581",581,323,0,125,11,5.06
"582",582,322,0,125,14,3.53
"583",583,306,1,125,14,4.28
"584",584,310,0,125,9,3.81
"585",585,208,1,125,7,4.06
"586",586,328,0,125,10,2.94
"587",587,315,0,126,12,4.17
"588",588,94,1,126,9,3.93
"589",589,329,0,127,13,4.96
"590",590,312,0,127,9,5.34
"591",591,66,1,127,13,3.78
"592",592,331,0,127,7,3.69
"593",593,335,0,127,5,5.62
"594",594,316,0,128,13,3.43
"595",595,313,0,128,9,5.82
"596",596,322,0,128,6,3.95
"597",597,326,0,129,11,3.3
"598",598,331,0,129,11,4.49
"599",599,316,0,129,13,3.83
"600",600,322,0,129,14,3.58
"601",601,321,0,129,7,6.28
"602",602,318,0,129,8,3.66
"603",603,310,0,129,14,5.93
"604",604,322,0,129,10,5.75
"605",605,336,0,129,7,4.65
"606",606,323,0,130,10,3.14
"607",607,338,0,130,7,4.49
"608",608,130,1,130,6,5.98
"609",609,336,0,130,10,4.25
"610",610,337,0,130,14,4.19
"611",611,315,1,130,12,4.01
"612",612,319,0,130,13,5.15
"613",613,74,1,131,7,4.04
"614",614,339,0,131,7,3.81
"615",615,327,1,132,5,4.65
"616",616,77,1,132,12,7.46
"617",617,330,0,133,6,5.9
"618",618,338,0,133,13,2.56
"619",619,311,0,133,8,5.05
"620",620,330,0,133,8,7.67
"621",621,310,0,133,9,3.47
"622",622,322,0,133,10,4.62
"623",623,322,0,133,11,5.67
"624",624,338,0,133,11,4.2
"625",625,329,0,134,14,5.04
"626",626,332,0,134,8,5.62
"627",627,329,0,134,7,5.08
"628",628,187,1,134,11,4.09
"629",629,1,1,134,13,4.28
"630",630,317,0,134,12,5.14
"631",631,311,0,134,5,3.56
"632",632,325,0,134,12,5.81
"633",633,318,0,135,13,3.91
"634",634,337,0,135,12,6.1
"635",635,324,0,135,6,4.84
"636",636,334,0,135,11,3.26
"637",637,312,0,135,7,4.19
"638",638,325,0,135,7,4.11
"639",639,339,0,136,13,4.93
"640",640,124,1,136,6,3.58
"641",641,311,0,136,11,3.69
"642",642,332,0,136,6,4.94
"643",643,90,1,136,5,6.39
"644",644,318,0,136,14,2.89
"645",645,14,1,136,11,6.02
"646",646,106,1,137,8,4.78
"647",647,332,0,137,14,3.83
"648",648,332,0,137,13,5.85
"649",649,332,0,137,8,6.94
"650",650,320,0,137,9,5.18
"651",651,322,0,137,12,4.32
"652",652,297,1,137,6,3.85
"653",653,318,0,137,13,5.64
"654",654,337,0,137,13,5.76
"655",655,170,1,137,6,4.25
"656",656,327,0,138,5,6.91
"657",657,339,0,138,6,4.62
"658",658,322,0,138,6,3.71
"659",659,331,0,139,11,4.32
"660",660,326,0,139,8,5.62
"661",661,302,1,139,7,5.29
"662",662,321,1,139,11,3.69
"663",663,335,0,140,9,4.63
"664",664,338,0,141,12,4.32
"665",665,315,1,141,14,4.88
"666",666,323,0,142,13,4.99
"667",667,314,0,143,5,3.3
"668",668,328,0,143,8,3.4
"669",669,319,0,143,9,4.94
"670",670,322,0,144,12,3.95
"671",671,335,0,144,10,3.47
"672",672,186,1,144,9,3.4
"673",673,125,1,145,12,5.13
"674",674,334,0,145,8,6.31
"675",675,326,0,145,9,6.11
"676",676,109,1,146,7,5.23
"677",677,312,1,146,6,5.2
"678",678,55,1,146,7,3
"679",679,292,1,146,14,7.87
"680",680,331,0,146,11,3.47
"681",681,314,0,147,6,4.98
"682",682,332,0,147,14,5.91
"683",683,159,1,147,8,3.18
"684",684,320,0,147,14,4.98
"685",685,310,0,148,5,5.08
"686",686,192,1,148,14,4.67
"687",687,325,0,148,11,4.48
"688",688,338,0,148,8,5.63
"689",689,339,0,148,7,4.92
"690",690,321,0,148,10,3.4
"691",691,334,0,148,5,4.58
"692",692,318,0,148,11,4.38
"693",693,334,0,148,14,7.13
"694",694,328,0,148,12,3.04
"695",695,310,0,148,10,4.62
"696",696,316,0,149,11,3.09
"697",697,323,0,149,13,4.34
"698",698,328,0,149,6,3.56
"699",699,313,0,150,14,7.89
"700",700,80,1,150,14,2.64
"701",701,311,0,151,10,5.4
"702",702,205,1,151,8,3.93
"703",703,324,0,151,9,4.32
"704",704,320,0,151,9,5.11
"705",705,330,1,151,6,4.11
"706",706,318,0,152,12,4.52
"707",707,334,0,152,13,3.58
"708",708,293,1,153,13,4.14
"709",709,151,1,153,5,6.08
"710",710,337,0,153,14,4.93
"711",711,324,0,153,12,2.77
"712",712,202,1,154,9,4.41
"713",713,171,1,154,6,4.11
"714",714,339,0,154,13,4.37
"715",715,330,0,155,12,4.08
"716",716,338,0,155,14,4.87
"717",717,339,0,155,12,5.75
"718",718,331,0,155,14,2.77
"719",719,124,1,155,6,4.88
"720",720,320,0,155,12,4.76
"721",721,315,0,156,10,4.84
"722",722,332,0,157,10,4.89
"723",723,316,0,157,12,3.83
"724",724,325,0,157,11,4.06
"725",725,319,0,157,7,4.25
"726",726,314,0,157,14,3.09
"727",727,333,0,157,6,6.04
"728",728,333,1,157,7,4.48
"729",729,318,0,158,10,6.03
"730",730,335,0,158,9,2.94
"731",731,338,0,158,9,3.22
"732",732,323,1,159,6,4.7
"733",733,331,0,159,13,4.69
"734",734,314,0,159,14,5.63
"735",735,44,1,159,14,4.17
"736",736,336,0,160,14,7.22
"737",737,334,0,160,8,6.03
"738",738,337,0,160,14,3.4
"739",739,221,1,161,13,3.26
"740",740,313,0,161,14,4.75
"741",741,332,0,161,5,5.96
"742",742,312,0,161,6,4.3
"743",743,316,0,161,8,4.55
"744",744,330,0,161,7,3.58
"745",745,323,0,162,12,5.4
"746",746,323,0,162,13,8.53
"747",747,311,0,162,7,4.04
"748",748,337,0,162,8,4.11
"749",749,314,0,162,14,3.69
"750",750,319,0,162,11,3.85
"751",751,334,0,162,5,4.73
"752",752,144,1,162,6,3.69
"753",753,317,0,163,10,3.97
"754",754,325,0,164,13,4.75
"755",755,333,0,164,10,5.66
"756",756,326,0,165,6,4.06
"757",757,312,0,165,14,3.04
"758",758,204,1,165,7,6.14
"759",759,311,0,165,11,5.84
"760",760,335,0,165,7,6.73
"761",761,310,0,166,8,4.84
"762",762,321,0,166,11,3.89
"763",763,312,0,166,9,7.17
"764",764,329,0,166,6,3.58
"765",765,314,0,166,12,7.47
"766",766,87,1,166,6,6.77
"767",767,197,1,167,12,4.99
"768",768,73,1,167,11,5.16
"769",769,316,0,167,6,4.06
"770",770,335,0,167,6,3.3
"771",771,310,0,167,12,3.91
"772",772,322,0,167,6,4.36
"773",773,322,0,168,13,4.2
"774",774,335,0,168,6,5.04
"775",775,326,0,168,13,3.91
"776",776,331,0,168,10,8.49
"777",777,320,0,168,13,4.03
"778",778,311,0,168,13,4.16
"779",779,311,0,169,9,4.14
"780",780,310,0,169,11,4.93
"781",781,315,0,169,14,4.92
"782",782,326,0,169,7,7.09
"783",783,301,1,169,9,4.53
"784",784,333,0,169,10,8.08
"785",785,329,0,169,11,4.66
"786",786,320,0,169,8,5.49
"787",787,310,0,169,8,3.4
"788",788,103,1,169,14,5.88
"789",789,323,0,169,9,3.43
"790",790,333,0,170,6,4.92
"791",791,324,0,170,12,5.2
"792",792,328,1,170,6,6.61
"793",793,333,0,170,10,4.3
"794",794,314,0,171,8,5.6
"795",795,160,1,171,6,4.79
"796",796,333,0,171,10,3.14
"797",797,331,0,171,6,6.72
"798",798,233,1,171,6,4.09
"799",799,321,0,171,13,3.37
"800",800,201,1,172,10,4.22
"801",801,316,0,172,11,5.36
"802",802,331,0,172,8,6.3
"803",803,312,0,172,9,3.83
"804",804,318,0,172,6,6.39
"805",805,315,0,172,12,4.04
"806",806,314,0,172,13,3.93
"807",807,208,1,173,6,5.29
"808",808,321,1,173,8,4.34
"809",809,335,0,173,11,4.48
"810",810,331,0,173,8,5.5
"811",811,289,1,173,13,4.74
"812",812,312,0,173,14,4.26
"813",813,308,1,173,12,6.84
"814",814,335,0,173,13,4.84
"815",815,124,1,173,8,3.33
"816",816,337,0,173,14,3.5
"817",817,135,1,173,9,4.14
"818",818,335,0,174,6,3.85
"819",819,333,0,174,8,3.97
"820",820,318,0,174,8,4.57
"821",821,328,0,174,7,4.84
