"","Cowid","Time","Status","Herd","Ureum","Protein","Parity","Heifer"
"430",430,54,1,7,2,3.83,3,0
"431",431,105,1,7,1.31,4.03,2,1
"432",432,22,1,7,1.52,2.61,2,1
"433",433,18,1,7,1.52,3.23,3,1
"434",434,29,1,7,2.4,3.32,2,1
"435",435,36,1,7,1.42,2.96,3,0
"436",436,17,1,7,1.16,3.13,2,0
"437",437,115,1,7,1.66,4.69,2,1
"438",438,89,1,7,1.46,3.49,2,1
"439",439,43,1,7,1.54,3.16,3,0
"440",440,11,1,7,1.99,3.52,2,0
"441",441,86,1,7,0.7,2.94,2,1
"442",442,13,1,7,1.77,3.49,3,0
"443",443,56,1,7,1.51,3.51,2,0
"444",444,79,1,7,1.2,4.3,1,0
"445",445,28,1,7,1.55,2.98,1,0
"446",446,39,1,7,2.59,3.51,1,0
"447",447,47,1,7,1.05,4.18,2,0
"448",448,43,1,7,3.54,3.33,1,0
"449",449,46,1,7,1.89,3.46,2,0
"450",450,83,1,7,1.75,3.42,2,1
"451",451,32,1,7,1.09,3.16,1,1
"452",452,106,1,7,2.86,3.34,1,1
"453",453,86,1,7,1.67,3.47,2,0
"454",454,154,1,7,1.73,3.61,2,1
"455",455,111,1,7,1.46,3.34,1,1
"456",456,99,1,7,1.45,3.41,2,0
"457",457,36,1,7,0.7,3.08,1,0
"458",458,105,1,7,2.54,3.42,1,0
"459",459,26,1,7,1.8,3.5,1,1
"460",460,31,1,7,0.97,3.48,2,0
"461",461,85,1,7,1.88,3.51,1,0
"462",462,42,1,7,0.93,3.84,1,1
"463",463,63,1,7,2.51,2.78,1,0
"464",464,72,1,7,1.74,3.56,2,1
"465",465,52,1,7,1.26,3.49,1,1
"466",466,59,1,7,1.8,3.46,1,1
"467",467,53,1,7,1.79,3.32,2,1
"468",468,77,1,7,1.89,3.52,1,0
"469",469,7,1,7,1.79,3.85,1,1
"470",470,88,1,7,2.01,3.54,2,1
"471",471,40,1,7,2.06,3.68,1,1
"472",472,71,1,7,2.66,3.4,2,0
"473",473,96,1,7,1.36,3.08,1,1
"474",474,71,1,7,2.45,3.8,1,1
"475",475,22,1,7,1.46,3.32,1,0
"476",476,44,1,7,0.73,3.41,1,0
"477",477,69,1,7,1.14,3.14,1,0
"478",478,58,1,7,3.29,3.58,1,0
"479",479,87,1,7,1.44,2.95,1,1
"480",480,60,1,7,1.52,3.39,1,0
"481",481,16,1,7,1.02,3.36,1,0
"482",482,63,1,7,0.7,3.27,1,0
"483",483,39,1,7,1.33,3.47,1,0
"484",484,38,1,7,1.04,3.53,1,0
"485",485,76,1,7,1.02,3.47,1,1
"486",486,24,1,7,2.62,3.65,1,1
"487",487,58,1,7,1.6,3.67,1,1
"488",488,87,1,7,1.44,2.7,1,1
"489",489,44,1,7,1.1,3.81,1,0
"490",490,135,1,7,2.32,3.3,1,0
"491",491,55,1,7,0.79,3.48,1,0
"492",492,25,1,7,0.7,4.68,1,0
"493",493,57,1,7,1.79,3.48,1,0
"494",494,131,1,7,1.91,3.67,1,1
"495",495,59,1,8,1.98,2.81,7,0
"496",496,34,1,8,1.82,3.59,5,0
"497",497,32,1,8,2.18,3.38,6,1
"498",498,52,1,8,3.12,3.28,5,0
"499",499,94,1,8,2.49,3.75,4,1
"500",500,15,1,8,2.1,3.41,4,1
"501",501,8,1,8,2.05,3.09,4,0
"502",502,100,1,8,1.71,3.39,5,0
"503",503,18,1,8,2.41,3.19,4,1
"504",504,75,1,8,1.73,2.8,5,1
"505",505,59,1,8,3.08,3.21,4,0
"506",506,88,1,8,1.52,4.62,5,1
"507",507,4,1,8,2.25,3.33,4,0
"508",508,62,1,8,2.1,3.4,4,0
"509",509,63,1,8,2.63,3.42,4,1
"510",510,58,1,8,2.19,3.62,4,0
"511",511,20,1,8,2.47,3.2,4,0
"512",512,3,1,8,2.42,2.96,3,1
"513",513,8,1,8,2.2,3.15,3,1
"514",514,61,1,8,2.06,3.04,3,0
"515",515,90,1,8,2.38,2.75,2,1
"516",516,48,1,8,1.27,3.71,3,1
"517",517,11,1,8,2.81,3.74,2,0
"518",518,67,1,8,1.65,3.4,1,1
"519",519,26,1,8,3.34,3.13,1,0
"520",520,59,1,8,1.76,2.88,2,0
"521",521,6,1,8,2.28,3.69,1,0
"522",522,37,1,8,1.66,3.88,2,0
"523",523,62,1,8,0.94,3.64,2,0
"524",524,47,1,8,1.25,4.19,2,1
"525",525,24,1,8,2.58,3.26,1,0
"526",526,105,1,8,2.01,3.14,2,1
"527",527,13,1,8,3.72,3.66,2,0
"528",528,14,1,8,2.03,2.96,4,0
"529",529,16,1,8,1.94,3.48,2,1
"530",530,12,1,8,2.77,3.15,1,0
"531",531,11,1,8,1.84,3.02,2,0
"532",532,20,1,8,2.21,3,2,1
"533",533,4,1,8,1.97,3.3,1,0
"534",534,64,1,8,2.67,3.42,1,1
"535",535,59,1,8,1.83,3.12,1,1
"536",536,14,1,8,2.44,3.33,1,1
"537",537,46,1,8,1.97,2.82,1,0
"538",538,46,1,8,2.51,2.62,1,0
"539",539,41,1,8,2.2,3.3,2,0
"540",540,19,1,8,2.11,3.53,1,0
"541",541,6,1,8,1.74,3.02,1,0
"542",542,11,1,8,3.94,2.86,1,0
"543",543,37,1,8,2.18,3.5,1,1
"544",544,13,1,8,1.7,3.48,1,1
"545",545,18,1,8,3.15,3.28,1,1
"546",546,41,1,8,2.59,3.28,1,1
"547",547,27,1,8,1.94,3.86,1,0
"548",548,12,1,8,2.7,3.64,1,0
"549",549,55,1,8,1.99,3.64,1,1
"550",550,42,1,8,2.2,3.7,1,1
"551",551,36,1,8,2.2,3.7,1,0
"552",552,46,1,8,2.44,3.61,1,1
"553",553,10,1,8,2.02,3.66,1,1
"554",554,49,1,8,2.39,2.94,1,1
"555",555,7,1,8,1.94,3.31,1,0
"556",556,18,1,8,1.28,3.14,1,0
"557",557,47,1,9,2.16,3.01,8,0
"558",558,111,1,9,2.66,3.13,5,1
"559",559,57,1,9,2.74,3.23,5,1
"560",560,60,1,9,2.95,3.76,5,1
"561",561,45,1,9,3.61,3.12,4,0
"562",562,18,1,9,2.7,3.27,4,0
"563",563,67,1,9,4.18,2.7,4,0
"564",564,27,1,9,2.73,2.8,4,1
"565",565,8,1,9,4.52,3.08,5,0
"566",566,95,1,9,1.67,3.06,3,1
"567",567,16,1,9,2.78,3.06,4,0
"568",568,52,1,9,3.31,3.29,4,0
"569",569,130,1,9,2.77,3.61,3,1
"570",570,65,1,9,2.77,3.61,3,0
"571",571,115,1,9,3.03,3.04,3,1
"572",572,36,1,9,2.34,2.92,3,0
"573",573,131,1,9,2,2.96,2,0
"574",574,29,1,9,1.38,3.35,2,0
"575",575,28,1,9,2.31,3.03,2,1
"576",576,93,1,9,4.87,2.91,3,0
"577",577,168,1,9,2.02,3.82,2,1
"578",578,103,1,9,2.93,2.97,2,0
"579",579,28,1,9,3.55,3.32,1,1
"580",580,92,1,9,1.79,3.58,2,0
"581",581,73,1,9,1.82,3.64,2,1
"582",582,28,1,9,2.55,3.71,2,0
"583",583,118,1,9,2.48,3.11,1,0
"584",584,14,1,9,0.82,3.32,2,0
"585",585,3,1,9,1.86,3.48,2,0
"586",586,136,1,9,2.76,3.11,1,0
"587",587,61,1,9,3.93,3.55,2,0
"588",588,99,1,9,1.92,3.14,2,0
"589",589,19,1,9,2.09,2.92,1,0
"590",590,122,1,9,2.09,2.92,1,0
"591",591,107,1,9,3.07,3.23,1,0
"592",592,50,1,9,1.87,3.04,1,1
"593",593,40,1,9,2.78,3.29,1,0
"594",594,45,1,9,2.23,3.19,1,0
"595",595,34,1,9,2.31,3.16,1,0
"596",596,90,1,9,2.05,3.42,1,1
"597",597,9,1,9,1.6,4.06,1,0
"598",598,43,1,9,1.6,3.71,1,1
"599",599,39,1,9,3.04,3.31,1,0
"600",600,149,1,9,1.7,4.13,1,0
"601",601,65,1,9,4.13,3.06,1,0
"602",602,85,1,10,2.51,3.03,6,0
"603",603,72,1,10,2.96,3.13,5,1
"604",604,218,1,10,3.43,3.41,5,0
"605",605,214,1,10,3.53,3.8,4,1
"606",606,90,1,10,2.69,3.81,4,0
