"Package","Item","Title","Rows","Cols","n_character","n_binary","n_factor","n_logical","n_numeric","CSV","Doc"
"AER","GermanUnemployment","Unemployment in Germany Data",120,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/GermanUnemployment.csv","https://jemus42.github.io/Rdatasets/doc/AER/GermanUnemployment.html"
"AER","GoldSilver","Gold and Silver Prices",9132,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/GoldSilver.csv","https://jemus42.github.io/Rdatasets/doc/AER/GoldSilver.html"
"AER","GrowthDJ","Determinants of Economic Growth",121,10,0,3,3,0,7,"https://jemus42.github.io/Rdatasets/csv/AER/GrowthDJ.csv","https://jemus42.github.io/Rdatasets/doc/AER/GrowthDJ.html"
"AER","GrowthSW","Determinants of Economic Growth",65,6,0,0,0,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/GrowthSW.csv","https://jemus42.github.io/Rdatasets/doc/AER/GrowthSW.html"
"AER","Grunfeld","Grunfeld's Investment Data",220,5,0,0,1,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/Grunfeld.csv","https://jemus42.github.io/Rdatasets/doc/AER/Grunfeld.html"
"AER","GSOEP9402","German Socio-Economic Panel 1994-2002",675,12,0,1,5,0,7,"https://jemus42.github.io/Rdatasets/csv/AER/GSOEP9402.csv","https://jemus42.github.io/Rdatasets/doc/AER/GSOEP9402.html"
"AER","GSS7402","US General Social Survey 1974-2002",9120,10,0,4,4,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/GSS7402.csv","https://jemus42.github.io/Rdatasets/doc/AER/GSS7402.html"
"AER","Guns","More Guns, Less Crime?",1173,13,0,1,3,0,10,"https://jemus42.github.io/Rdatasets/csv/AER/Guns.csv","https://jemus42.github.io/Rdatasets/doc/AER/Guns.html"
"AER","HealthInsurance","Medical Expenditure Panel Survey Data",8802,11,0,6,9,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/HealthInsurance.csv","https://jemus42.github.io/Rdatasets/doc/AER/HealthInsurance.html"
"AER","HMDA","Home Mortgage Disclosure Act Data",2380,14,0,8,10,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/HMDA.csv","https://jemus42.github.io/Rdatasets/doc/AER/HMDA.html"
"AER","HousePrices","House Prices in the City of Windsor, Canada",546,12,0,6,6,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/HousePrices.csv","https://jemus42.github.io/Rdatasets/doc/AER/HousePrices.html"
"AER","Journals","Economics Journal Subscription Data",180,10,1,1,3,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/Journals.csv","https://jemus42.github.io/Rdatasets/doc/AER/Journals.html"
"AER","KleinI","Klein Model I",22,9,0,0,0,0,9,"https://jemus42.github.io/Rdatasets/csv/AER/KleinI.csv","https://jemus42.github.io/Rdatasets/doc/AER/KleinI.html"
"AER","Longley","Longley's Regression Data",16,4,0,0,0,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/Longley.csv","https://jemus42.github.io/Rdatasets/doc/AER/Longley.html"
"AER","ManufactCosts","Manufacturing Costs Data",25,9,0,0,0,0,9,"https://jemus42.github.io/Rdatasets/csv/AER/ManufactCosts.csv","https://jemus42.github.io/Rdatasets/doc/AER/ManufactCosts.html"
"AER","MarkDollar","DEM/USD Exchange Rate Returns",518,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/MarkDollar.csv","https://jemus42.github.io/Rdatasets/doc/AER/MarkDollar.html"
"AER","MarkPound","DEM/GBP Exchange Rate Returns",1974,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/MarkPound.csv","https://jemus42.github.io/Rdatasets/doc/AER/MarkPound.html"
"AER","MASchools","Massachusetts Test Score Data",220,16,2,0,0,0,14,"https://jemus42.github.io/Rdatasets/csv/AER/MASchools.csv","https://jemus42.github.io/Rdatasets/doc/AER/MASchools.html"
"AER","Medicaid1986","Medicaid Utilization Data",996,14,0,5,5,0,9,"https://jemus42.github.io/Rdatasets/csv/AER/Medicaid1986.csv","https://jemus42.github.io/Rdatasets/doc/AER/Medicaid1986.html"
"AER","Mortgage","Fixed versus Adjustable Mortgages",78,16,0,5,5,0,11,"https://jemus42.github.io/Rdatasets/csv/AER/Mortgage.csv","https://jemus42.github.io/Rdatasets/doc/AER/Mortgage.html"
"AER","MotorCycles","Motor Cycles in The Netherlands",48,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/MotorCycles.csv","https://jemus42.github.io/Rdatasets/doc/AER/MotorCycles.html"
"AER","MotorCycles2","Motor Cycles in The Netherlands",67,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/MotorCycles2.csv","https://jemus42.github.io/Rdatasets/doc/AER/MotorCycles2.html"
"AER","MSCISwitzerland","MSCI Switzerland Index",4697,1,0,0,0,0,1,"https://jemus42.github.io/Rdatasets/csv/AER/MSCISwitzerland.csv","https://jemus42.github.io/Rdatasets/doc/AER/MSCISwitzerland.html"
"AER","Municipalities","Municipal Expenditure Data",2385,5,0,0,2,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/Municipalities.csv","https://jemus42.github.io/Rdatasets/doc/AER/Municipalities.html"
"AER","MurderRates","Determinants of Murder Rates in the United States",44,8,0,1,1,0,7,"https://jemus42.github.io/Rdatasets/csv/AER/MurderRates.csv","https://jemus42.github.io/Rdatasets/doc/AER/MurderRates.html"
"AER","NaturalGas","Natural Gas Data",138,10,0,0,3,0,7,"https://jemus42.github.io/Rdatasets/csv/AER/NaturalGas.csv","https://jemus42.github.io/Rdatasets/doc/AER/NaturalGas.html"
"AER","NMES1988","Demand for Medical Care in NMES 1988",4406,19,0,7,9,0,10,"https://jemus42.github.io/Rdatasets/csv/AER/NMES1988.csv","https://jemus42.github.io/Rdatasets/doc/AER/NMES1988.html"
"AER","NYSESW","Daily NYSE Composite Index",4003,1,0,0,0,0,1,"https://jemus42.github.io/Rdatasets/csv/AER/NYSESW.csv","https://jemus42.github.io/Rdatasets/doc/AER/NYSESW.html"
"AER","OECDGas","Gasoline Consumption Data",342,6,0,0,1,0,5,"https://jemus42.github.io/Rdatasets/csv/AER/OECDGas.csv","https://jemus42.github.io/Rdatasets/doc/AER/OECDGas.html"
"AER","OECDGrowth","OECD Macroeconomic Data",22,6,0,0,0,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/OECDGrowth.csv","https://jemus42.github.io/Rdatasets/doc/AER/OECDGrowth.html"
"AER","OlympicTV","Television Rights for Olympic Games",10,2,0,0,1,0,1,"https://jemus42.github.io/Rdatasets/csv/AER/OlympicTV.csv","https://jemus42.github.io/Rdatasets/doc/AER/OlympicTV.html"
"AER","OrangeCounty","Orange County Employment",76,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/OrangeCounty.csv","https://jemus42.github.io/Rdatasets/doc/AER/OrangeCounty.html"
"AER","Parade2005","Parade Magazine 2005 Earnings Data",130,5,0,2,3,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/Parade2005.csv","https://jemus42.github.io/Rdatasets/doc/AER/Parade2005.html"
"AER","PepperPrice","Black and White Pepper Prices",271,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/PepperPrice.csv","https://jemus42.github.io/Rdatasets/doc/AER/PepperPrice.html"
"AER","PhDPublications","Doctoral Publications",915,6,0,2,2,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/PhDPublications.csv","https://jemus42.github.io/Rdatasets/doc/AER/PhDPublications.html"
"AER","ProgramEffectiveness","Program Effectiveness Data",32,4,0,2,2,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/ProgramEffectiveness.csv","https://jemus42.github.io/Rdatasets/doc/AER/ProgramEffectiveness.html"
"AER","PSID1976","Labor Force Participation Data",753,21,0,4,4,0,17,"https://jemus42.github.io/Rdatasets/csv/AER/PSID1976.csv","https://jemus42.github.io/Rdatasets/doc/AER/PSID1976.html"
"AER","PSID1982","PSID Earnings Data 1982",595,12,0,8,8,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/PSID1982.csv","https://jemus42.github.io/Rdatasets/doc/AER/PSID1982.html"
"AER","PSID7682","PSID Earnings Panel Data (1976-1982)",4165,14,0,8,10,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/PSID7682.csv","https://jemus42.github.io/Rdatasets/doc/AER/PSID7682.html"
"AER","RecreationDemand","Recreation Demand Data",659,8,0,2,2,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/RecreationDemand.csv","https://jemus42.github.io/Rdatasets/doc/AER/RecreationDemand.html"
"AER","ResumeNames","Are Emily and Greg More Employable Than Lakisha and Jamal?",4870,27,0,21,25,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/ResumeNames.csv","https://jemus42.github.io/Rdatasets/doc/AER/ResumeNames.html"
"AER","ShipAccidents","Ship Accidents",40,5,0,1,3,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/ShipAccidents.csv","https://jemus42.github.io/Rdatasets/doc/AER/ShipAccidents.html"
"AER","SIC33","SIC33 Production Data",27,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/SIC33.csv","https://jemus42.github.io/Rdatasets/doc/AER/SIC33.html"
"AER","SmokeBan","Do Workplace Smoking Bans Reduce Smoking?",10000,7,0,5,6,0,1,"https://jemus42.github.io/Rdatasets/csv/AER/SmokeBan.csv","https://jemus42.github.io/Rdatasets/doc/AER/SmokeBan.html"
"AER","SportsCards","Endowment Effect for Sports Cards",148,9,0,4,6,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/SportsCards.csv","https://jemus42.github.io/Rdatasets/doc/AER/SportsCards.html"
"AER","STAR","Project STAR: Student-Teacher Achievement Ratio",11598,47,0,8,34,0,12,"https://jemus42.github.io/Rdatasets/csv/AER/STAR.csv","https://jemus42.github.io/Rdatasets/doc/AER/STAR.html"
"AER","StrikeDuration","Strike Durations",62,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/StrikeDuration.csv","https://jemus42.github.io/Rdatasets/doc/AER/StrikeDuration.html"
"AER","SwissLabor","Swiss Labor Market Participation Data",872,7,0,2,2,0,5,"https://jemus42.github.io/Rdatasets/csv/AER/SwissLabor.csv","https://jemus42.github.io/Rdatasets/doc/AER/SwissLabor.html"
"AER","TeachingRatings","Impact of Beauty on Instructor's Teaching Ratings",463,12,0,6,7,0,5,"https://jemus42.github.io/Rdatasets/csv/AER/TeachingRatings.csv","https://jemus42.github.io/Rdatasets/doc/AER/TeachingRatings.html"
"AER","TechChange","Technological Change Data",41,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/TechChange.csv","https://jemus42.github.io/Rdatasets/doc/AER/TechChange.html"
"AER","TradeCredit","Trade Credit and the Money Market",21,7,0,0,0,0,7,"https://jemus42.github.io/Rdatasets/csv/AER/TradeCredit.csv","https://jemus42.github.io/Rdatasets/doc/AER/TradeCredit.html"
"AER","TravelMode","Travel Mode Choice Data",840,9,0,1,3,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/TravelMode.csv","https://jemus42.github.io/Rdatasets/doc/AER/TravelMode.html"
"AER","UKInflation","UK Manufacturing Inflation Data",54,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/UKInflation.csv","https://jemus42.github.io/Rdatasets/doc/AER/UKInflation.html"
"AER","UKNonDurables","Consumption of Non-Durables in the UK",136,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/UKNonDurables.csv","https://jemus42.github.io/Rdatasets/doc/AER/UKNonDurables.html"
"AER","USAirlines","Cost Data for US Airlines",90,6,0,0,2,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/USAirlines.csv","https://jemus42.github.io/Rdatasets/doc/AER/USAirlines.html"
"AER","USConsump1950","US Consumption Data (1940-1950)",11,3,0,1,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/USConsump1950.csv","https://jemus42.github.io/Rdatasets/doc/AER/USConsump1950.html"
"AER","USConsump1979","US Consumption Data (1970-1979)",10,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/USConsump1979.csv","https://jemus42.github.io/Rdatasets/doc/AER/USConsump1979.html"
"AER","USConsump1993","US Consumption Data (1950-1993)",44,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/USConsump1993.csv","https://jemus42.github.io/Rdatasets/doc/AER/USConsump1993.html"
"AER","USCrudes","US Crudes Data",99,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/USCrudes.csv","https://jemus42.github.io/Rdatasets/doc/AER/USCrudes.html"
"AER","USGasB","US Gasoline Market Data (1950-1987, Baltagi)",38,6,0,0,0,0,6,"https://jemus42.github.io/Rdatasets/csv/AER/USGasB.csv","https://jemus42.github.io/Rdatasets/doc/AER/USGasB.html"
"AER","USGasG","US Gasoline Market Data (1960-1995, Greene)",36,10,0,0,0,0,10,"https://jemus42.github.io/Rdatasets/csv/AER/USGasG.csv","https://jemus42.github.io/Rdatasets/doc/AER/USGasG.html"
"AER","USInvest","US Investment Data",15,4,0,0,0,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/USInvest.csv","https://jemus42.github.io/Rdatasets/doc/AER/USInvest.html"
"AER","USMacroB","US Macroeconomic Data (1959-1995, Baltagi)",146,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/USMacroB.csv","https://jemus42.github.io/Rdatasets/doc/AER/USMacroB.html"
"AER","USMacroG","US Macroeconomic Data (1950-2000, Greene)",204,12,0,0,0,0,12,"https://jemus42.github.io/Rdatasets/csv/AER/USMacroG.csv","https://jemus42.github.io/Rdatasets/doc/AER/USMacroG.html"
"AER","USMacroSW","US Macroeconomic Data (1957-2005, Stock & Watson)",193,7,0,0,0,0,7,"https://jemus42.github.io/Rdatasets/csv/AER/USMacroSW.csv","https://jemus42.github.io/Rdatasets/doc/AER/USMacroSW.html"
"AER","USMacroSWM","Monthly US Macroeconomic Data (1947-2004, Stock & Watson)",696,4,0,0,0,0,4,"https://jemus42.github.io/Rdatasets/csv/AER/USMacroSWM.csv","https://jemus42.github.io/Rdatasets/doc/AER/USMacroSWM.html"
"AER","USMacroSWQ","Quarterly US Macroeconomic Data (1947-2004, Stock & Watson)",232,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/USMacroSWQ.csv","https://jemus42.github.io/Rdatasets/doc/AER/USMacroSWQ.html"
"AER","USMoney","USMoney",136,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/USMoney.csv","https://jemus42.github.io/Rdatasets/doc/AER/USMoney.html"
"AER","USProdIndex","Index of US Industrial Production",128,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/USProdIndex.csv","https://jemus42.github.io/Rdatasets/doc/AER/USProdIndex.html"
"AER","USSeatBelts","Effects of Mandatory Seat Belt Laws in the US",765,12,0,4,7,0,5,"https://jemus42.github.io/Rdatasets/csv/AER/USSeatBelts.csv","https://jemus42.github.io/Rdatasets/doc/AER/USSeatBelts.html"
"AER","USStocksSW","Monthly US Stock Returns (1931-2002, Stock & Watson)",864,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/AER/USStocksSW.csv","https://jemus42.github.io/Rdatasets/doc/AER/USStocksSW.html"
"AER","WeakInstrument","Artificial Weak Instrument Data",200,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/AER/WeakInstrument.csv","https://jemus42.github.io/Rdatasets/doc/AER/WeakInstrument.html"
"APtools","mayo","Mayo Marker data",312,4,0,1,0,0,4,"https://jemus42.github.io/Rdatasets/csv/APtools/mayo.csv","https://jemus42.github.io/Rdatasets/doc/APtools/mayo.html"
"asaur","ashkenazi","ashkenazi",3920,4,0,2,0,0,4,"https://jemus42.github.io/Rdatasets/csv/asaur/ashkenazi.csv","https://jemus42.github.io/Rdatasets/doc/asaur/ashkenazi.html"
"asaur","ChanningHouse","Channing House Data",457,5,0,2,1,0,4,"https://jemus42.github.io/Rdatasets/csv/asaur/ChanningHouse.csv","https://jemus42.github.io/Rdatasets/doc/asaur/ChanningHouse.html"
"asaur","gastricXelox","gasticXelox",48,2,0,1,0,0,2,"https://jemus42.github.io/Rdatasets/csv/asaur/gastricXelox.csv","https://jemus42.github.io/Rdatasets/doc/asaur/gastricXelox.html"
"asaur","hepatoCellular","hepatoCellular",227,48,0,15,0,0,48,"https://jemus42.github.io/Rdatasets/csv/asaur/hepatoCellular.csv","https://jemus42.github.io/Rdatasets/doc/asaur/hepatoCellular.html"
"asaur","pancreatic","pancreatic",41,4,0,1,4,0,0,"https://jemus42.github.io/Rdatasets/csv/asaur/pancreatic.csv","https://jemus42.github.io/Rdatasets/doc/asaur/pancreatic.html"
"asaur","pancreatic2","pancreatic2",41,4,0,1,1,0,3,"https://jemus42.github.io/Rdatasets/csv/asaur/pancreatic2.csv","https://jemus42.github.io/Rdatasets/doc/asaur/pancreatic2.html"
"asaur","pharmacoSmoking","pharmacoSmoking",125,14,0,5,7,0,7,"https://jemus42.github.io/Rdatasets/csv/asaur/pharmacoSmoking.csv","https://jemus42.github.io/Rdatasets/doc/asaur/pharmacoSmoking.html"
"asaur","prostateSurvival","prostateSurvival",14294,5,0,1,3,0,2,"https://jemus42.github.io/Rdatasets/csv/asaur/prostateSurvival.csv","https://jemus42.github.io/Rdatasets/doc/asaur/prostateSurvival.html"
"boot","acme","Monthly Excess Returns",60,3,1,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/boot/acme.csv","https://jemus42.github.io/Rdatasets/doc/boot/acme.html"
"boot","aids","Delay in AIDS Reporting in England and Wales",570,6,0,1,0,0,6,"https://jemus42.github.io/Rdatasets/csv/boot/aids.csv","https://jemus42.github.io/Rdatasets/doc/boot/aids.html"
"boot","aircondit","Failures of Air-conditioning Equipment",12,1,0,0,0,0,1,"https://jemus42.github.io/Rdatasets/csv/boot/aircondit.csv","https://jemus42.github.io/Rdatasets/doc/boot/aircondit.html"
"boot","aircondit7","Failures of Air-conditioning Equipment",24,1,0,0,0,0,1,"https://jemus42.github.io/Rdatasets/csv/boot/aircondit7.csv","https://jemus42.github.io/Rdatasets/doc/boot/aircondit7.html"
"boot","amis","Car Speeding and Warning Signs",8437,4,0,1,0,0,4,"https://jemus42.github.io/Rdatasets/csv/boot/amis.csv","https://jemus42.github.io/Rdatasets/doc/boot/amis.html"
"boot","aml","Remission Times for Acute Myelogenous Leukaemia",23,3,0,2,0,0,3,"https://jemus42.github.io/Rdatasets/csv/boot/aml.csv","https://jemus42.github.io/Rdatasets/doc/boot/aml.html"
"boot","beaver","Beaver Body Temperature Data",100,4,0,2,0,0,4,"https://jemus42.github.io/Rdatasets/csv/boot/beaver.csv","https://jemus42.github.io/Rdatasets/doc/boot/beaver.html"
"boot","bigcity","Population of U.S. Cities",49,2,0,0,0,0,2,"https://jemus42.github.io/Rdatasets/csv/boot/bigcity.csv","https://jemus42.github.io/Rdatasets/doc/boot/bigcity.html"
"boot","brambles","Spatial Location of Bramble Canes",823,3,0,0,0,0,3,"https://jemus42.github.io/Rdatasets/csv/boot/brambles.csv","https://jemus42.github.io/Rdatasets/doc/boot/brambles.html"
"boot","breslow","Smoking Deaths Among Doctors",10,5,0,1,1,0,4,"https://jemus42.github.io/Rdatasets/csv/boot/breslow.csv","https://jemus42.github.io/Rdatasets/doc/boot/breslow.html"
