"","age","sex","year","deaths","id"
"125.1970",62,"men",1970,793,125
"128.1970",63,"women",1970,502,128
"127.1970",63,"men",1970,854,127
"130.1970",64,"women",1970,550,130
"129.1970",64,"men",1970,953,129
"132.1970",65,"women",1970,595,132
"131.1970",65,"men",1970,943,131
"134.1970",66,"women",1970,622,134
"133.1970",66,"men",1970,1003,133
"136.1970",67,"women",1970,676,136
"135.1970",67,"men",1970,1091,135
"138.1970",68,"women",1970,754,138
"137.1970",68,"men",1970,1156,137
"140.1970",69,"women",1970,803,140
"139.1970",69,"men",1970,1192,139
"142.1970",70,"women",1970,873,142
"141.1970",70,"men",1970,1266,141
"144.1970",71,"women",1970,930,144
"143.1970",71,"men",1970,1236,143
"146.1970",72,"women",1970,952,146
"145.1970",72,"men",1970,1324,145
"148.1970",73,"women",1970,1033,148
"147.1970",73,"men",1970,1338,147
"150.1970",74,"women",1970,1127,150
"149.1970",74,"men",1970,1414,149
"152.1970",75,"women",1970,1251,152
"151.1970",75,"men",1970,1316,151
"154.1970",76,"women",1970,1291,154
"153.1970",76,"men",1970,1481,153
"156.1970",77,"women",1970,1232,156
"155.1970",77,"men",1970,1362,155
"158.1970",78,"women",1970,1383,158
"157.1970",78,"men",1970,1323,157
"160.1970",79,"women",1970,1389,160
"159.1970",79,"men",1970,1311,159
"162.1970",80,"women",1970,1392,162
"161.1970",80,"men",1970,1294,161
"164.1970",81,"women",1970,1442,164
"163.1970",81,"men",1970,1262,163
"166.1970",82,"women",1970,1436,166
"165.1970",82,"men",1970,1187,165
"168.1970",83,"women",1970,1361,168
"167.1970",83,"men",1970,1189,167
"170.1970",84,"women",1970,1242,170
"169.1970",84,"men",1970,1075,169
"172.1970",85,"women",1970,1143,172
"171.1970",85,"men",1970,1024,171
"174.1970",86,"women",1970,1107,174
"173.1970",86,"men",1970,842,173
"176.1970",87,"women",1970,934,176
"175.1970",87,"men",1970,764,175
"178.1970",88,"women",1970,812,178
"177.1970",88,"men",1970,672,177
"180.1970",89,"women",1970,702,180
"179.1970",89,"men",1970,526,179
"182.1970",90,"women",1970,629,182
"181.1970",90,"men",1970,471,181
"184.1970",91,"women",1970,441,184
"183.1970",91,"men",1970,376,183
"186.1970",92,"women",1970,422,186
"185.1970",92,"men",1970,281,185
"188.1970",93,"women",1970,286,188
"187.1970",93,"men",1970,203,187
"190.1970",94,"women",1970,257,190
"189.1970",94,"men",1970,134,189
"192.1970",95,"women",1970,155,192
"191.1970",95,"men",1970,120,191
"194.1970",96,"women",1970,112,194
"193.1970",96,"men",1970,68,193
"196.1970",97,"women",1970,85,196
"195.1970",97,"men",1970,48,195
"198.1970",98,"women",1970,54,198
"197.1970",98,"men",1970,18,197
"200.1970",99,"women",1970,34,200
"199.1970",99,"men",1970,13,199
"202.1970",100,"women",1970,48,202
"201.1970",100,"men",1970,18,201
"2.1971",0,"women",1971,529,2
"1.1971",0,"men",1971,741,1
"4.1971",1,"women",1971,33,4
"3.1971",1,"men",1971,32,3
"6.1971",2,"women",1971,20,6
"5.1971",2,"men",1971,31,5
"8.1971",3,"women",1971,17,8
"7.1971",3,"men",1971,25,7
"10.1971",4,"women",1971,16,10
"9.1971",4,"men",1971,19,9
"12.1971",5,"women",1971,11,12
"11.1971",5,"men",1971,33,11
"14.1971",6,"women",1971,18,14
"13.1971",6,"men",1971,26,13
"16.1971",7,"women",1971,9,16
"15.1971",7,"men",1971,29,15
"18.1971",8,"women",1971,8,18
"17.1971",8,"men",1971,18,17
"20.1971",9,"women",1971,14,20
"19.1971",9,"men",1971,14,19
"22.1971",10,"women",1971,12,22
"21.1971",10,"men",1971,25,21
"24.1971",11,"women",1971,15,24
"23.1971",11,"men",1971,14,23
"26.1971",12,"women",1971,16,26
"25.1971",12,"men",1971,26,25
"28.1971",13,"women",1971,19,28
"27.1971",13,"men",1971,18,27
"30.1971",14,"women",1971,15,30
"29.1971",14,"men",1971,20,29
"32.1971",15,"women",1971,14,32
"31.1971",15,"men",1971,49,31
"34.1971",16,"women",1971,19,34
"33.1971",16,"men",1971,37,33
"36.1971",17,"women",1971,25,36
"35.1971",17,"men",1971,54,35
"38.1971",18,"women",1971,28,38
"37.1971",18,"men",1971,66,37
"40.1971",19,"women",1971,27,40
"39.1971",19,"men",1971,72,39
"42.1971",20,"women",1971,31,42
"41.1971",20,"men",1971,68,41
"44.1971",21,"women",1971,21,44
"43.1971",21,"men",1971,75,43
"46.1971",22,"women",1971,33,46
"45.1971",22,"men",1971,82,45
"48.1971",23,"women",1971,26,48
"47.1971",23,"men",1971,75,47
"50.1971",24,"women",1971,20,50
"49.1971",24,"men",1971,81,49
"52.1971",25,"women",1971,30,52
"51.1971",25,"men",1971,92,51
"54.1971",26,"women",1971,27,54
"53.1971",26,"men",1971,67,53
"56.1971",27,"women",1971,24,56
"55.1971",27,"men",1971,76,55
"58.1971",28,"women",1971,29,58
"57.1971",28,"men",1971,68,57
"60.1971",29,"women",1971,26,60
"59.1971",29,"men",1971,64,59
"62.1971",30,"women",1971,38,62
"61.1971",30,"men",1971,70,61
"64.1971",31,"women",1971,24,64
"63.1971",31,"men",1971,65,63
"66.1971",32,"women",1971,30,66
"65.1971",32,"men",1971,63,65
"68.1971",33,"women",1971,49,68
"67.1971",33,"men",1971,67,67
"70.1971",34,"women",1971,38,70
"69.1971",34,"men",1971,87,69
"72.1971",35,"women",1971,38,72
"71.1971",35,"men",1971,71,71
"74.1971",36,"women",1971,41,74
"73.1971",36,"men",1971,92,73
"76.1971",37,"women",1971,55,76
"75.1971",37,"men",1971,83,75
"78.1971",38,"women",1971,51,78
"77.1971",38,"men",1971,94,77
"80.1971",39,"women",1971,65,80
"79.1971",39,"men",1971,102,79
"82.1971",40,"women",1971,65,82
"81.1971",40,"men",1971,107,81
"84.1971",41,"women",1971,76,84
"83.1971",41,"men",1971,131,83
"86.1971",42,"women",1971,69,86
"85.1971",42,"men",1971,153,85
"88.1971",43,"women",1971,87,88
"87.1971",43,"men",1971,144,87
"90.1971",44,"women",1971,103,90
"89.1971",44,"men",1971,164,89
"92.1971",45,"women",1971,99,92
"91.1971",45,"men",1971,161,91
"94.1971",46,"women",1971,117,94
"93.1971",46,"men",1971,169,93
"96.1971",47,"women",1971,125,96
"95.1971",47,"men",1971,254,95
"98.1971",48,"women",1971,155,98
"97.1971",48,"men",1971,262,97
"100.1971",49,"women",1971,172,100
"99.1971",49,"men",1971,290,99
"102.1971",50,"women",1971,194,102
"101.1971",50,"men",1971,334,101
"104.1971",51,"women",1971,199,104
"103.1971",51,"men",1971,352,103
"106.1971",52,"women",1971,186,106
"105.1971",52,"men",1971,330,105
"108.1971",53,"women",1971,227,108
"107.1971",53,"men",1971,363,107
"110.1971",54,"women",1971,239,110
"109.1971",54,"men",1971,375,109
"112.1971",55,"women",1971,223,112
"111.1971",55,"men",1971,431,111
"114.1971",56,"women",1971,282,114
"113.1971",56,"men",1971,506,113
"116.1971",57,"women",1971,294,116
"115.1971",57,"men",1971,557,115
"118.1971",58,"women",1971,345,118
"117.1971",58,"men",1971,534,117
"120.1971",59,"women",1971,358,120
"119.1971",59,"men",1971,655,119
"122.1971",60,"women",1971,363,122
"121.1971",60,"men",1971,729,121
"124.1971",61,"women",1971,418,124
"123.1971",61,"men",1971,818,123
"126.1971",62,"women",1971,455,126
"125.1971",62,"men",1971,842,125
"128.1971",63,"women",1971,510,128
"127.1971",63,"men",1971,867,127
"130.1971",64,"women",1971,592,130
"129.1971",64,"men",1971,982,129
"132.1971",65,"women",1971,587,132
"131.1971",65,"men",1971,1021,131
"134.1971",66,"women",1971,576,134
"133.1971",66,"men",1971,1045,133
"136.1971",67,"women",1971,714,136
"135.1971",67,"men",1971,1116,135
"138.1971",68,"women",1971,745,138
"137.1971",68,"men",1971,1186,137
"140.1971",69,"women",1971,756,140
"139.1971",69,"men",1971,1245,139
"142.1971",70,"women",1971,906,142
"141.1971",70,"men",1971,1297,141
"144.1971",71,"women",1971,917,144
"143.1971",71,"men",1971,1390,143
"146.1971",72,"women",1971,981,146
"145.1971",72,"men",1971,1327,145
"148.1971",73,"women",1971,1098,148
"147.1971",73,"men",1971,1495,147
"150.1971",74,"women",1971,1131,150
"149.1971",74,"men",1971,1447,149
"152.1971",75,"women",1971,1229,152
"151.1971",75,"men",1971,1406,151
"154.1971",76,"women",1971,1304,154
"153.1971",76,"men",1971,1518,153
"156.1971",77,"women",1971,1351,156
"155.1971",77,"men",1971,1429,155
"158.1971",78,"women",1971,1385,158
"157.1971",78,"men",1971,1521,157
"160.1971",79,"women",1971,1381,160
"159.1971",79,"men",1971,1444,159
"162.1971",80,"women",1971,1421,162
"161.1971",80,"men",1971,1407,161
"164.1971",81,"women",1971,1422,164
"163.1971",81,"men",1971,1284,163
"166.1971",82,"women",1971,1370,166
"165.1971",82,"men",1971,1286,165
"168.1971",83,"women",1971,1438,168
"167.1971",83,"men",1971,1265,167
"170.1971",84,"women",1971,1321,170
"169.1971",84,"men",1971,1112,169
"172.1971",85,"women",1971,1270,172
"171.1971",85,"men",1971,1099,171
"174.1971",86,"women",1971,1142,174
"173.1971",86,"men",1971,984,173
"176.1971",87,"women",1971,969,176
"175.1971",87,"men",1971,790,175
"178.1971",88,"women",1971,819,178
"177.1971",88,"men",1971,643,177
"180.1971",89,"women",1971,745,180
"179.1971",89,"men",1971,594,179
"182.1971",90,"women",1971,635,182
"181.1971",90,"men",1971,445,181
"184.1971",91,"women",1971,523,184
"183.1971",91,"men",1971,373,183
"186.1971",92,"women",1971,425,186
"185.1971",92,"men",1971,292,185
"188.1971",93,"women",1971,315,188
"187.1971",93,"men",1971,227,187
"190.1971",94,"women",1971,248,190
"189.1971",94,"men",1971,158,189
"192.1971",95,"women",1971,179,192
"191.1971",95,"men",1971,107,191
"194.1971",96,"women",1971,124,194
"193.1971",96,"men",1971,86,193
"196.1971",97,"women",1971,97,196
"195.1971",97,"men",1971,48,195
"198.1971",98,"women",1971,54,198
"197.1971",98,"men",1971,28,197
"200.1971",99,"women",1971,38,200
"199.1971",99,"men",1971,22,199
"202.1971",100,"women",1971,43,202
"201.1971",100,"men",1971,23,201
"2.1972",0,"women",1972,481,2
"1.1972",0,"men",1972,734,1
"4.1972",1,"women",1972,30,4
"3.1972",1,"men",1972,37,3
"6.1972",2,"women",1972,25,6
"5.1972",2,"men",1972,25,5
"8.1972",3,"women",1972,21,8
"7.1972",3,"men",1972,33,7
"10.1972",4,"women",1972,20,10
"9.1972",4,"men",1972,23,9
"12.1972",5,"women",1972,19,12
"11.1972",5,"men",1972,30,11
"14.1972",6,"women",1972,20,14
"13.1972",6,"men",1972,26,13
"16.1972",7,"women",1972,16,16
"15.1972",7,"men",1972,26,15
"18.1972",8,"women",1972,11,18
"17.1972",8,"men",1972,25,17
"20.1972",9,"women",1972,16,20
"19.1972",9,"men",1972,20,19
"22.1972",10,"women",1972,10,22
"21.1972",10,"men",1972,16,21
"24.1972",11,"women",1972,9,24
"23.1972",11,"men",1972,15,23
"26.1972",12,"women",1972,11,26
"25.1972",12,"men",1972,15,25
"28.1972",13,"women",1972,10,28
"27.1972",13,"men",1972,15,27
"30.1972",14,"women",1972,9,30
"29.1972",14,"men",1972,21,29
"32.1972",15,"women",1972,24,32
"31.1972",15,"men",1972,38,31
"34.1972",16,"women",1972,21,34
"33.1972",16,"men",1972,40,33
"36.1972",17,"women",1972,25,36
"35.1972",17,"men",1972,64,35
"38.1972",18,"women",1972,16,38
"37.1972",18,"men",1972,71,37
"40.1972",19,"women",1972,17,40
"39.1972",19,"men",1972,59,39
"42.1972",20,"women",1972,20,42
"41.1972",20,"men",1972,62,41
"44.1972",21,"women",1972,31,44
"43.1972",21,"men",1972,72,43
"46.1972",22,"women",1972,20,46
"45.1972",22,"men",1972,66,45
"48.1972",23,"women",1972,24,48
"47.1972",23,"men",1972,80,47
"50.1972",24,"women",1972,34,50
"49.1972",24,"men",1972,85,49
"52.1972",25,"women",1972,41,52
"51.1972",25,"men",1972,81,51
"54.1972",26,"women",1972,42,54
"53.1972",26,"men",1972,86,53
"56.1972",27,"women",1972,37,56
"55.1972",27,"men",1972,67,55
"58.1972",28,"women",1972,30,58
"57.1972",28,"men",1972,85,57
"60.1972",29,"women",1972,39,60
"59.1972",29,"men",1972,82,59
"62.1972",30,"women",1972,45,62
"61.1972",30,"men",1972,77,61
"64.1972",31,"women",1972,31,64
"63.1972",31,"men",1972,57,63
"66.1972",32,"women",1972,28,66
"65.1972",32,"men",1972,81,65
"68.1972",33,"women",1972,33,68
"67.1972",33,"men",1972,82,67
"70.1972",34,"women",1972,36,70
"69.1972",34,"men",1972,79,69
"72.1972",35,"women",1972,46,72
"71.1972",35,"men",1972,84,71
"74.1972",36,"women",1972,42,74
"73.1972",36,"men",1972,75,73
"76.1972",37,"women",1972,55,76
"75.1972",37,"men",1972,82,75
"78.1972",38,"women",1972,44,78
"77.1972",38,"men",1972,85,77
"80.1972",39,"women",1972,47,80
"79.1972",39,"men",1972,86,79
"82.1972",40,"women",1972,67,82
"81.1972",40,"men",1972,112,81
"84.1972",41,"women",1972,68,84
"83.1972",41,"men",1972,118,83
"86.1972",42,"women",1972,50,86
"85.1972",42,"men",1972,112,85
"88.1972",43,"women",1972,77,88
"87.1972",43,"men",1972,137,87
"90.1972",44,"women",1972,94,90
"89.1972",44,"men",1972,172,89
"92.1972",45,"women",1972,91,92
"91.1972",45,"men",1972,181,91
"94.1972",46,"women",1972,115,94
"93.1972",46,"men",1972,217,93
"96.1972",47,"women",1972,128,96
"95.1972",47,"men",1972,208,95
"98.1972",48,"women",1972,142,98
"97.1972",48,"men",1972,249,97
"100.1972",49,"women",1972,152,100
"99.1972",49,"men",1972,306,99
"102.1972",50,"women",1972,176,102
"101.1972",50,"men",1972,316,101
"104.1972",51,"women",1972,203,104
"103.1972",51,"men",1972,325,103
"106.1972",52,"women",1972,247,106
"105.1972",52,"men",1972,406,105
"108.1972",53,"women",1972,203,108
"107.1972",53,"men",1972,342,107
"110.1972",54,"women",1972,227,110
"109.1972",54,"men",1972,416,109
"112.1972",55,"women",1972,231,112
"111.1972",55,"men",1972,451,111
"114.1972",56,"women",1972,279,114
"113.1972",56,"men",1972,486,113
"116.1972",57,"women",1972,298,116
"115.1972",57,"men",1972,501,115
"118.1972",58,"women",1972,334,118
"117.1972",58,"men",1972,593,117
"120.1972",59,"women",1972,327,120
"119.1972",59,"men",1972,673,119
"122.1972",60,"women",1972,385,122
"121.1972",60,"men",1972,675,121
"124.1972",61,"women",1972,424,124
"123.1972",61,"men",1972,742,123
"126.1972",62,"women",1972,479,126
"125.1972",62,"men",1972,822,125
"128.1972",63,"women",1972,500,128
"127.1972",63,"men",1972,942,127
"130.1972",64,"women",1972,528,130
"129.1972",64,"men",1972,944,129
"132.1972",65,"women",1972,567,132
"131.1972",65,"men",1972,996,131
"134.1972",66,"women",1972,636,134
"133.1972",66,"men",1972,1121,133
"136.1972",67,"women",1972,700,136
"135.1972",67,"men",1972,1113,135
"138.1972",68,"women",1972,728,138
"137.1972",68,"men",1972,1191,137
"140.1972",69,"women",1972,809,140
"139.1972",69,"men",1972,1252,139
"142.1972",70,"women",1972,888,142
"141.1972",70,"men",1972,1383,141
"144.1972",71,"women",1972,961,144
"143.1972",71,"men",1972,1377,143
"146.1972",72,"women",1972,1019,146
"145.1972",72,"men",1972,1419,145
"148.1972",73,"women",1972,1072,148
"147.1972",73,"men",1972,1440,147
"150.1972",74,"women",1972,1232,150
"149.1972",74,"men",1972,1510,149
"152.1972",75,"women",1972,1219,152
"151.1972",75,"men",1972,1499,151
"154.1972",76,"women",1972,1358,154
"153.1972",76,"men",1972,1521,153
"156.1972",77,"women",1972,1434,156
"155.1972",77,"men",1972,1507,155
"158.1972",78,"women",1972,1450,158
"157.1972",78,"men",1972,1467,157
"160.1972",79,"women",1972,1424,160
"159.1972",79,"men",1972,1469,159
"162.1972",80,"women",1972,1442,162
"161.1972",80,"men",1972,1339,161
