"","age","sex","year","pop","id"
"5.1970",4,"men",1970,63336,5
"107.1970",5,"women",1970,60138,107
"6.1970",5,"men",1970,63212,6
"108.1970",6,"women",1970,57735,108
"7.1970",6,"men",1970,60836.5,7
"109.1970",7,"women",1970,53938,109
"8.1970",7,"men",1970,56966.5,8
"110.1970",8,"women",1970,51942.5,110
"9.1970",8,"men",1970,54710,9
"111.1970",9,"women",1970,50774,111
"10.1970",9,"men",1970,53350.5,10
"112.1970",10,"women",1970,50633.5,112
"11.1970",10,"men",1970,53471,11
"113.1970",11,"women",1970,51139,113
"12.1970",11,"men",1970,54351.5,12
"114.1970",12,"women",1970,51841.5,114
"13.1970",12,"men",1970,54514.5,13
"115.1970",13,"women",1970,52324,115
"14.1970",13,"men",1970,55349.5,14
"116.1970",14,"women",1970,52220.5,116
"15.1970",14,"men",1970,55534.5,15
"117.1970",15,"women",1970,51873,117
"16.1970",15,"men",1970,54600.5,16
"118.1970",16,"women",1970,52636.5,118
"17.1970",16,"men",1970,55309.5,17
"119.1970",17,"women",1970,54114,119
"18.1970",17,"men",1970,56712,18
"120.1970",18,"women",1970,54795,120
"19.1970",18,"men",1970,57228.5,19
"121.1970",19,"women",1970,56664.5,121
"20.1970",19,"men",1970,59130,20
"122.1970",20,"women",1970,60100,122
"21.1970",20,"men",1970,61778,21
"123.1970",21,"women",1970,63564.5,123
"22.1970",21,"men",1970,65791,22
"124.1970",22,"women",1970,65594.5,124
"23.1970",22,"men",1970,68486,23
"125.1970",23,"women",1970,66794,125
"24.1970",23,"men",1970,70492.5,24
"126.1970",24,"women",1970,67332.5,126
"25.1970",24,"men",1970,71652.5,25
"127.1970",25,"women",1970,66665,127
"26.1970",25,"men",1970,71552,26
"128.1970",26,"women",1970,64363.5,128
"27.1970",26,"men",1970,69272,27
"129.1970",27,"women",1970,59774.5,129
"28.1970",27,"men",1970,64637.5,28
"130.1970",28,"women",1970,53985.5,130
"29.1970",28,"men",1970,58736,29
"131.1970",29,"women",1970,49745.5,131
"30.1970",29,"men",1970,53997.5,30
"132.1970",30,"women",1970,49016.5,132
"31.1970",30,"men",1970,52825,31
"133.1970",31,"women",1970,48641,133
"32.1970",31,"men",1970,51918.5,32
"134.1970",32,"women",1970,46739,134
"33.1970",32,"men",1970,49736,33
"135.1970",33,"women",1970,45392,135
"34.1970",33,"men",1970,47927.5,34
"136.1970",34,"women",1970,44104,136
"35.1970",34,"men",1970,46490.5,35
"137.1970",35,"women",1970,43041.5,137
"36.1970",35,"men",1970,45131.5,36
"138.1970",36,"women",1970,42708,138
"37.1970",36,"men",1970,44273,37
"139.1970",37,"women",1970,43564.5,139
"38.1970",37,"men",1970,44799.5,38
"140.1970",38,"women",1970,44931,140
"39.1970",38,"men",1970,45744,39
"141.1970",39,"women",1970,45778,141
"40.1970",39,"men",1970,46359.5,40
"142.1970",40,"women",1970,45986.5,142
"41.1970",40,"men",1970,46534.5,41
"143.1970",41,"women",1970,46578,143
"42.1970",41,"men",1970,46968.5,42
"144.1970",42,"women",1970,47166,144
"43.1970",42,"men",1970,47576.5,43
"145.1970",43,"women",1970,47580,145
"44.1970",43,"men",1970,48033,44
"146.1970",44,"women",1970,49202.5,146
"45.1970",44,"men",1970,49660.5,45
"147.1970",45,"women",1970,50534.5,147
"46.1970",45,"men",1970,50876,46
"148.1970",46,"women",1970,51530,148
"47.1970",46,"men",1970,51949.5,47
"149.1970",47,"women",1970,52484,149
"48.1970",47,"men",1970,52935,48
"150.1970",48,"women",1970,54942.5,150
"49.1970",48,"men",1970,55151,49
"151.1970",49,"women",1970,58657,151
"50.1970",49,"men",1970,59027.5,50
"152.1970",50,"women",1970,55015,152
"51.1970",50,"men",1970,55573.5,51
"153.1970",51,"women",1970,49716.5,153
"52.1970",51,"men",1970,50089.5,52
"154.1970",52,"women",1970,50305,154
"53.1970",52,"men",1970,50265,53
"155.1970",53,"women",1970,50368.5,155
"54.1970",53,"men",1970,50371,54
"156.1970",54,"women",1970,49986,156
"55.1970",54,"men",1970,49849.5,55
"157.1970",55,"women",1970,50908,157
"56.1970",55,"men",1970,50401,56
"158.1970",56,"women",1970,51708,158
"57.1970",56,"men",1970,51265,57
"159.1970",57,"women",1970,51771,159
"58.1970",57,"men",1970,51343.5,58
"160.1970",58,"women",1970,51329.5,160
"59.1970",58,"men",1970,50799,59
"161.1970",59,"women",1970,50497,161
"60.1970",59,"men",1970,49942,60
"162.1970",60,"women",1970,50748.5,162
"61.1970",60,"men",1970,49724,61
"163.1970",61,"women",1970,50442,163
"62.1970",61,"men",1970,48603,62
"164.1970",62,"women",1970,48897,164
"63.1970",62,"men",1970,46497,63
"165.1970",63,"women",1970,47493.5,165
"64.1970",63,"men",1970,44599,64
"166.1970",64,"women",1970,46153,166
"65.1970",64,"men",1970,42379,65
"167.1970",65,"women",1970,44598,167
"66.1970",65,"men",1970,40356,66
"168.1970",66,"women",1970,42932,168
"67.1970",66,"men",1970,38669,67
"169.1970",67,"women",1970,41992,169
"68.1970",67,"men",1970,37175,68
"170.1970",68,"women",1970,41100,170
"69.1970",68,"men",1970,35938.5,69
"171.1970",69,"women",1970,39528,171
"70.1970",69,"men",1970,33927.5,70
"172.1970",70,"women",1970,37276.5,172
"71.1970",70,"men",1970,31329,71
"173.1970",71,"women",1970,35273.5,173
"72.1970",71,"men",1970,29357,72
"174.1970",72,"women",1970,33546,174
"73.1970",72,"men",1970,27697.5,73
"175.1970",73,"women",1970,31633,175
"74.1970",73,"men",1970,25818.5,74
"176.1970",74,"women",1970,30048,176
"75.1970",74,"men",1970,23992,75
"177.1970",75,"women",1970,28157.5,177
"76.1970",75,"men",1970,21682,76
"178.1970",76,"women",1970,26040,178
"77.1970",76,"men",1970,19722.5,77
"179.1970",77,"women",1970,24010.5,179
"78.1970",77,"men",1970,17879,78
"180.1970",78,"women",1970,22145,180
"79.1970",78,"men",1970,16180.5,79
"181.1970",79,"women",1970,20033.5,181
"80.1970",79,"men",1970,14502.5,80
"182.1970",80,"women",1970,17683.5,182
"81.1970",80,"men",1970,12610,81
"183.1970",81,"women",1970,15934.5,183
"82.1970",81,"men",1970,11191.5,82
"184.1970",82,"women",1970,14346,184
"83.1970",82,"men",1970,10061,83
"185.1970",83,"women",1970,12568,185
"84.1970",83,"men",1970,8750,84
"186.1970",84,"women",1970,10640.5,186
"85.1970",84,"men",1970,7436.5,85
"187.1970",85,"women",1970,8981,187
"86.1970",85,"men",1970,6171.5,86
"188.1970",86,"women",1970,7305,188
"87.1970",86,"men",1970,4878.5,87
"189.1970",87,"women",1970,5688,189
"88.1970",87,"men",1970,3764,88
"190.1970",88,"women",1970,4538.5,190
"89.1970",88,"men",1970,2956,89
"191.1970",89,"women",1970,3579.5,191
"90.1970",89,"men",1970,2267,90
"192.1970",90,"women",1970,2834,192
"91.1970",90,"men",1970,1769,91
"193.1970",91,"women",1970,2111,193
"92.1970",91,"men",1970,1316.5,92
"194.1970",92,"women",1970,1528.5,194
"93.1970",92,"men",1970,964,93
"195.1970",93,"women",1970,1087.5,195
"94.1970",93,"men",1970,678.5,94
"196.1970",94,"women",1970,758,196
"95.1970",94,"men",1970,435.5,95
"197.1970",95,"women",1970,489.5,197
"96.1970",95,"men",1970,287.5,96
"198.1970",96,"women",1970,340,198
"97.1970",96,"men",1970,176.5,97
"199.1970",97,"women",1970,214,199
"98.1970",97,"men",1970,105,98
"200.1970",98,"women",1970,134.5,200
"99.1970",98,"men",1970,58,99
"201.1970",99,"women",1970,74.5,201
"100.1970",99,"men",1970,34,100
"202.1970",100,"women",1970,83.5,202
"101.1970",100,"men",1970,35.5,101
"102.1971",0,"women",1971,53612,102
"1.1971",0,"men",1971,56512.5,1
"103.1971",1,"women",1971,52940.5,103
"2.1971",1,"men",1971,55818.5,2
"104.1971",2,"women",1971,54173,104
"3.1971",2,"men",1971,57155,3
"105.1971",3,"women",1971,57627,105
"4.1971",3,"men",1971,60745,4
"106.1971",4,"women",1971,59679.5,106
"5.1971",4,"men",1971,63203.5,5
"107.1971",5,"women",1971,60063.5,107
"6.1971",5,"men",1971,63465,6
"108.1971",6,"women",1971,60275.5,108
"7.1971",6,"men",1971,63288.5,7
"109.1971",7,"women",1971,57862,109
"8.1971",7,"men",1971,60924,8
"110.1971",8,"women",1971,54030,110
"9.1971",8,"men",1971,57050.5,9
"111.1971",9,"women",1971,52030,111
"10.1971",9,"men",1971,54822.5,10
"112.1971",10,"women",1971,50879.5,112
"11.1971",10,"men",1971,53464.5,11
"113.1971",11,"women",1971,50791.5,113
"12.1971",11,"men",1971,53614,12
"114.1971",12,"women",1971,51267.5,114
"13.1971",12,"men",1971,54457,13
"115.1971",13,"women",1971,51993,115
"14.1971",13,"men",1971,54651,14
"116.1971",14,"women",1971,52444.5,116
"15.1971",14,"men",1971,55480,15
"117.1971",15,"women",1971,52453,117
"16.1971",15,"men",1971,55725.5,16
"118.1971",16,"women",1971,52247,118
"17.1971",16,"men",1971,54801,17
"119.1971",17,"women",1971,53157,119
"18.1971",17,"men",1971,55597.5,18
"120.1971",18,"women",1971,54799.5,120
"19.1971",18,"men",1971,57282.5,19
"121.1971",19,"women",1971,55616,121
"20.1971",19,"men",1971,57758,20
"122.1971",20,"women",1971,57470.5,122
"21.1971",20,"men",1971,59274,21
"123.1971",21,"women",1971,60818,123
"22.1971",21,"men",1971,63168,22
"124.1971",22,"women",1971,64175.5,124
"23.1971",22,"men",1971,66694.5,23
"125.1971",23,"women",1971,66063.5,125
"24.1971",23,"men",1971,69293,24
"126.1971",24,"women",1971,67145.5,126
"25.1971",24,"men",1971,71141.5,25
"127.1971",25,"women",1971,67548.5,127
"26.1971",25,"men",1971,72104,26
"128.1971",26,"women",1971,66774,128
"27.1971",26,"men",1971,71868,27
"129.1971",27,"women",1971,64447.5,129
"28.1971",27,"men",1971,69551,28
"130.1971",28,"women",1971,59830.5,130
"29.1971",28,"men",1971,64790.5,29
"131.1971",29,"women",1971,54096,131
"30.1971",29,"men",1971,58879,30
"132.1971",30,"women",1971,49783,132
"31.1971",30,"men",1971,54092,31
"133.1971",31,"women",1971,49052,133
"32.1971",31,"men",1971,52921,32
"134.1971",32,"women",1971,48735.5,134
"33.1971",32,"men",1971,51971.5,33
"135.1971",33,"women",1971,46777.5,135
"34.1971",33,"men",1971,49783.5,34
"136.1971",34,"women",1971,45478.5,136
"35.1971",34,"men",1971,47959.5,35
"137.1971",35,"women",1971,44153.5,137
"36.1971",35,"men",1971,46498.5,36
"138.1971",36,"women",1971,43112.5,138
"37.1971",36,"men",1971,45158.5,37
"139.1971",37,"women",1971,42719,139
"38.1971",37,"men",1971,44276.5,38
"140.1971",38,"women",1971,43618.5,140
"39.1971",38,"men",1971,44822.5,39
"141.1971",39,"women",1971,44971.5,141
"40.1971",39,"men",1971,45745,40
"142.1971",40,"women",1971,45802.5,142
"41.1971",40,"men",1971,46357,41
"143.1971",41,"women",1971,46012.5,143
"42.1971",41,"men",1971,46488.5,42
"144.1971",42,"women",1971,46596.5,144
"43.1971",42,"men",1971,46923.5,43
"145.1971",43,"women",1971,47168.5,145
"44.1971",43,"men",1971,47515,44
"146.1971",44,"women",1971,47565,146
"45.1971",44,"men",1971,47934.5,45
"147.1971",45,"women",1971,49140.5,147
"46.1971",45,"men",1971,49520,46
"148.1971",46,"women",1971,50496.5,148
"47.1971",46,"men",1971,50736,47
"149.1971",47,"women",1971,51464,149
"48.1971",47,"men",1971,51794.5,48
"150.1971",48,"women",1971,52402.5,150
"49.1971",48,"men",1971,52722.5,49
"151.1971",49,"women",1971,54816,151
"50.1971",49,"men",1971,54923,50
"152.1971",50,"women",1971,58519,152
"51.1971",50,"men",1971,58759.5,51
"153.1971",51,"women",1971,54859.5,153
"52.1971",51,"men",1971,55273.5,52
"154.1971",52,"women",1971,49573,154
"53.1971",52,"men",1971,49782.5,53
"155.1971",53,"women",1971,50123.5,155
"54.1971",53,"men",1971,49926.5,54
"156.1971",54,"women",1971,50159,156
"55.1971",54,"men",1971,50023.5,55
"157.1971",55,"women",1971,49778,157
"56.1971",55,"men",1971,49461.5,56
"158.1971",56,"women",1971,50700.5,158
"57.1971",56,"men",1971,49973.5,57
"159.1971",57,"women",1971,51459.5,159
"58.1971",57,"men",1971,50763,58
"160.1971",58,"women",1971,51476,160
"59.1971",58,"men",1971,50805.5,59
"161.1971",59,"women",1971,51006.5,161
"60.1971",59,"men",1971,50215,60
"162.1971",60,"women",1971,50172,162
"61.1971",60,"men",1971,49287.5,61
"163.1971",61,"women",1971,50392,163
"62.1971",61,"men",1971,48977,62
"164.1971",62,"women",1971,49995.5,164
"63.1971",62,"men",1971,47799,63
"165.1971",63,"women",1971,48454.5,165
"64.1971",63,"men",1971,45643.5,64
"166.1971",64,"women",1971,46965.5,166
"65.1971",64,"men",1971,43725.5,65
"167.1971",65,"women",1971,45593.5,167
"66.1971",65,"men",1971,41378,66
"168.1971",66,"women",1971,44034,168
"67.1971",66,"men",1971,39388,67
"169.1971",67,"women",1971,42296,169
"68.1971",67,"men",1971,37606,68
"170.1971",68,"women",1971,41282,170
"69.1971",68,"men",1971,36059,69
"171.1971",69,"women",1971,40349.5,171
"70.1971",69,"men",1971,34745,70
"172.1971",70,"women",1971,38732.5,172
"71.1971",70,"men",1971,32689,71
"173.1971",71,"women",1971,36406,173
"72.1971",71,"men",1971,30035,72
"174.1971",72,"women",1971,34335.5,174
"73.1971",72,"men",1971,28067.5,73
"175.1971",73,"women",1971,32569,175
"74.1971",73,"men",1971,26343,74
"176.1971",74,"women",1971,30528,176
"75.1971",74,"men",1971,24401,75
"177.1971",75,"women",1971,28890.5,177
"76.1971",75,"men",1971,22624.5,76
"178.1971",76,"women",1971,26878.5,178
"77.1971",76,"men",1971,20282.5,77
"179.1971",77,"women",1971,24756.5,179
"78.1971",77,"men",1971,18265,78
"180.1971",78,"women",1971,22695,180
"79.1971",78,"men",1971,16463.5,79
"181.1971",79,"women",1971,20799.5,181
"80.1971",79,"men",1971,14834.5,80
"182.1971",80,"women",1971,18614.5,182
"81.1971",80,"men",1971,13138.5,81
"183.1971",81,"women",1971,16303.5,183
"82.1971",81,"men",1971,11297.5,82
"184.1971",82,"women",1971,14508,184
"83.1971",82,"men",1971,9980.5,83
"185.1971",83,"women",1971,12957.5,185
"84.1971",83,"men",1971,8804,84
"186.1971",84,"women",1971,11238.5,186
"85.1971",84,"men",1971,7605,85
"187.1971",85,"women",1971,9410.5,187
"86.1971",85,"men",1971,6359.5,86
"188.1971",86,"women",1971,7794,188
"87.1971",86,"men",1971,5187,87
"189.1971",87,"women",1971,6271.5,189
"88.1971",87,"men",1971,4032.5,88
"190.1971",88,"women",1971,4841,190
"89.1971",88,"men",1971,3067,89
"191.1971",89,"women",1971,3777.5,191
"90.1971",89,"men",1971,2345.5,90
"192.1971",90,"women",1971,2906.5,192
"91.1971",90,"men",1971,1786,91
"193.1971",91,"women",1971,2271,193
"92.1971",91,"men",1971,1359.5,92
"194.1971",92,"women",1971,1665.5,194
"93.1971",92,"men",1971,980,93
"195.1971",93,"women",1971,1147,195
"94.1971",93,"men",1971,712.5,94
"196.1971",94,"women",1971,819.5,196
"95.1971",94,"men",1971,501.5,95
"197.1971",95,"women",1971,556,197
"96.1971",95,"men",1971,307.5,96
"198.1971",96,"women",1971,351,198
"97.1971",96,"men",1971,191.5,97
"199.1971",97,"women",1971,234.5,199
"98.1971",97,"men",1971,115.5,98
"200.1971",98,"women",1971,148.5,200
"99.1971",98,"men",1971,69,99
"201.1971",99,"women",1971,88,201
"100.1971",99,"men",1971,41,100
"202.1971",100,"women",1971,94,202
"101.1971",100,"men",1971,40.5,101
"102.1972",0,"women",1972,54469,102
"1.1972",0,"men",1972,57630.5,1
"103.1972",1,"women",1972,54256,103
"2.1972",1,"men",1972,57056.5,2
"104.1972",2,"women",1972,52921,104
"3.1972",2,"men",1972,55743.5,3
"105.1972",3,"women",1972,54079.5,105
"4.1972",3,"men",1972,57055.5,4
"106.1972",4,"women",1972,57455,106
"5.1972",4,"men",1972,60566,5
"107.1972",5,"women",1972,59560,107
"6.1972",5,"men",1972,63033,6
"108.1972",6,"women",1972,59961.5,108
"7.1972",6,"men",1972,63303,7
"109.1972",7,"women",1972,60142.5,109
"8.1972",7,"men",1972,63126,8
"110.1972",8,"women",1972,57719.5,110
"9.1972",8,"men",1972,60797.5,9
"111.1972",9,"women",1972,53943.5,111
"10.1972",9,"men",1972,56982,10
"112.1972",10,"women",1972,51985,112
"11.1972",10,"men",1972,54770.5,11
"113.1972",11,"women",1972,50858.5,113
"12.1972",11,"men",1972,53441.5,12
"114.1972",12,"women",1972,50778.5,114
"13.1972",12,"men",1972,53601,13
"115.1972",13,"women",1972,51276,115
"14.1972",13,"men",1972,54442.5,14
"116.1972",14,"women",1972,52000,116
"15.1972",14,"men",1972,54637.5,15
"117.1972",15,"women",1972,52510.5,117
"16.1972",15,"men",1972,55486.5,16
"118.1972",16,"women",1972,52588,118
"17.1972",16,"men",1972,55748.5,17
"119.1972",17,"women",1972,52474.5,119
"18.1972",17,"men",1972,54822.5,18
"120.1972",18,"women",1972,53402.5,120
"19.1972",18,"men",1972,55734.5,19
"121.1972",19,"women",1972,55038.5,121
"20.1972",19,"men",1972,57272,20
"122.1972",20,"women",1972,55791.5,122
"21.1972",20,"men",1972,57476.5,21
"123.1972",21,"women",1972,57583,123
"22.1972",21,"men",1972,59602,22
"124.1972",22,"women",1972,60810,124
"23.1972",22,"men",1972,63142.5,23
"125.1972",23,"women",1972,64072.5,125
"24.1972",23,"men",1972,66555,24
"126.1972",24,"women",1972,65904.5,126
"25.1972",24,"men",1972,69019,25
"127.1972",25,"women",1972,66911,127
"26.1972",25,"men",1972,70795.5,26
"128.1972",26,"women",1972,67276,128
"27.1972",26,"men",1972,71742,27
"129.1972",27,"women",1972,66528,129
"28.1972",27,"men",1972,71528.5,28
"130.1972",28,"women",1972,64234.5,130
"29.1972",28,"men",1972,69174,29
"131.1972",29,"women",1972,59651,131
"30.1972",29,"men",1972,64434.5,30
"132.1972",30,"women",1972,53897.5,132
"31.1972",30,"men",1972,58522.5,31
"133.1972",31,"women",1972,49586,133
"32.1972",31,"men",1972,53732.5,32
"134.1972",32,"women",1972,48920.5,134
"33.1972",32,"men",1972,52584,33
"135.1972",33,"women",1972,48602.5,135
"34.1972",33,"men",1972,51686.5,34
"136.1972",34,"women",1972,46664.5,136
"35.1972",34,"men",1972,49467.5,35
"137.1972",35,"women",1972,45374,137
"36.1972",35,"men",1972,47663.5,36
"138.1972",36,"women",1972,44075,138
"37.1972",36,"men",1972,46248.5,37
"139.1972",37,"women",1972,43017.5,139
"38.1972",37,"men",1972,44946,38
"140.1972",38,"women",1972,42647.5,140
"39.1972",38,"men",1972,44065,39
"141.1972",39,"women",1972,43534,141
"40.1972",39,"men",1972,44606.5,40
"142.1972",40,"women",1972,44903,142
"41.1972",40,"men",1972,45530.5,41
"143.1972",41,"women",1972,45717.5,143
"42.1972",41,"men",1972,46132,42
"144.1972",42,"women",1972,45934,144
"43.1972",42,"men",1972,46267.5,43
"145.1972",43,"women",1972,46509.5,145
"44.1972",43,"men",1972,46694.5,44
"146.1972",44,"women",1972,47063.5,146
"45.1972",44,"men",1972,47280.5,45
"147.1972",45,"women",1972,47442,147
"46.1972",45,"men",1972,47691.5,46
"148.1972",46,"women",1972,49025,148
